,Sentence,Polarity_Classification
77,So he does not know anybody,Neutra
78,"Gregory McDonald once wrote funny, interesting books",Positiva
79,I recommend that anyone looking to have some mischievous fun at chess  should take up the the Budapest as an occasional surprise weapon,Neutra
80,"As mentioned by one of the previous reviews that story centers around Jonathan Whitfield a ""yankee"" being the fish out of water around his cousin Skylar's southern surroundings",Neutra
81,"Well paces and written for it's intended audience, younger readers, it weaves a spell binding story of reluctant heroes and less than evil villains",Positiva
82,"Arthur a new student at school, has to run a mile in the first day there",Neutra
83,"Arthur is a likable kid, with an unusual problem for fantasy heroes (namely, asthma)",Positiva
84,"Garth Nix has a hard act to follow in this first, highly imaginative book of The Keys to the Kingdom",Neutra
85,"When a distanced run in gym class brings on a devastating asthma attack, Arthur is supposed to die",Negativa
86,"As soon as Aurther holds this key, he finds that he can breathe, and he doesn't die the death that he was meant to die",Neutra
87,He couldn't bear to have more loved ones lost to a disease outbreak,Negativa
88,Watch out for Angela's beauty and Diabola's devilness,Neutra
89,"What Marshall does, however, is not only create a chilling tale that will keep you awake at night, but he also provides a possible answer to a question that has puzzled individuals for hundreds of years: What, precisely, makes us what, and who, we are?",Neutra
90,The only chance he has to save both himself and his father is to unlock the secret--and the curse--of Devil's Lake,Neutra
91,One thing that I really like about it is that the beginning jumps right into the story,Positiva
92,"I don't really care for McDermid's other running characters, but I love the dynamics between Tony Hill and Carol Jordan",Positiva
93,"When Liz and her boyfriend Sean decide to hook up Maggie with his friend Dennis, the blind date is as incredibly awkward as they come",Negativa
94,them so they sent him to the Deep Coal Cellar so they could torture him until he,Negativa
95,"I thought that this book was amazing, had great detail, and was imaginative in every way",Positiva
96,"Murdered horribly, with no apparent motive",Negativa
97,Her psychological material is carefully researched and propels the plot along at a brisk pace,Positiva
98,"""Mister Monday"" reminds me more of ""The Ragwitch"" in that a young boy with absolutely no training learns that he is the Rightful Heir to some improbable kingdom (the Universe) and is also the only person on Earth who can stop/cure the newest, deadliest plague",Negativa
99,"This book is  porbably the 3 or 4th best book I've read,I am only 12 and I am already reading higher grade stuff",Positiva
100,"But, if you are expecting a nice meaty serial killer novel, reasses your beliefs quickly, because it is not what you're going to get",Negativa
101,"The author does ultimately admit that there is ""no singular meaning of wife",Neutra
102,He was trying to set up the world that gave rise to a gang leader like Al Capone,Neutra
103,He pushes himself too hard because he doesn't want to feel alienated by his weaker lungs,Neutra
104,"It's in the minor details with which Dobbs fleshes out the story of Chamberlain's fall and the rise of his nemesis, Churchill, to an epic 685 paper-backed pages (UK HarperCollins edition)",Negativa
105,Arthur Penhaligon has asthma,Neutra
106,Curtain: Poirot's last casePoirot's last case was written by Agatha Christie (1891-1976) in the 1940's,Neutra
107,at the last moment he is saved by a mysterious figure who hands him a minute like key that saves him,Neutra
108,"Somehow I was just left wanting to hear more about Leaf and Ed ( two classmates, who could have been good friends to Arthur )",Neutra
109,Sir Monday is another universe in time and space,Neutra
110,"Desperate to save his world, Arthur ventures into a mysterious house that only he can see",Neutra
111,"Garth Nix is a very good author, and he seems to have found his nook with this series",Positiva
112,"It is a great book for children, to help them start on a path to learning size relationships",Positiva
113,He couldn't bear to have more loved ones lost to a disease outbreak,Negativa
114,The characters were interesting as well,Positiva
115,"Although I liked the concept of this book, I found Arthur's overall journey to be a bit too contrived and that he is led where he goes simply because the author placed him on that path and not because it was the pull of the character leading us on his story",Neutra
116,"Now the first and least fragment of the Will has escaped, and it is helping Aurther",Neutra
117,Using the old theme of parallel universes and kingdoms he transformed a normal 13 year old boy into a hero that holds the primary key to the universe,Neutra
118,I really liked this book and I read it all in one night,Positiva
119,&lt;br&gt;	The main characters in My Darling My Hamburger are two girls named Liz and Maggie,Neutra
120,"Guterson narrates the apple-scented idyll of Ben's childhood in a typically  low-key manner--and orchards, of course, are seldom the stuff of melodrama",Neutra
121,It is about time for prom and they both have dates,Neutra
122,Everyone loves Angela much and hate Diabola,Neutra
123,"So Arthur has asthma VERY severely in fact and almost dies, but survive because Mr",Neutra
124,I have read Agatha Christie all of my life,Neutra
125,"In this fantastic story of trust and adventures, a boy named Author holds the Key to the future, and what will that bring?",Positiva
126,Monday allows you to get wrapped up in a world that is both strange and familiar and is a wonderful reading experience,Positiva
127,I mean what happened to Diabola?,Neutra
128,"way too many characters - I couldn't keep them straight and it was WAY too long, by 50 - 75 pages",Negativa
129,"I was disappointed enough in the book to move along to another author, as opposed to reading the rest of the Carol Jordan/Tony Hill saga",Negativa
130,Mister Monday is one book you will not put down,Positiva
131,"Arthur Penhaligon (and that just has to be a reference to the Arthurian legend) is just an average kid with bad asthma, until he has an attack that nearly kills him and suddenly finds himself a big player in a world that exists outside reality as he knows it",Negativa
132,"Arthur is slated to die an early death but his life is saved by a key shaped like a clock's hand � a key which brings with it the power not only to reverse predictions, but to introduce bizarre creates into the world",Neutra
133,I recommend it as a glimpse into the America that once was,Positiva
134,As a 7th grade teacher I have discovered that Garth Nix's Keys to the Kingdom series is a fabulous read aloud for my students,Neutra
135,It was a chance Capone was to take,Neutra
136,"As opposed to many writers in the serial-killer/police procedural genre, Val McDermid consistently paints vivid, if disturbing, psychological portraits of the diseased mind responsible for the crimes committed in her novels",Negativa
137,cute board book for the cat lover or animal lover,Positiva
138,"Angela and Diabola is about two sisters, one very angelic, and one very, very diabolic",Neutra
139,But his life is saved by a minute hand shaped key,Positiva
140,terrifying reading,Positiva
141,"In this case, there is a serial killer on the loose across Europe who seems to be targeting psychologists by replicating atrocities performed during the reign of the Nazi's in Germany",Neutra
142,"Great novel, the ever faithful Captain Arthur Hastings is narrating, and things go out with a bang",Positiva
143,This book is Paul Zindel's second and was first published way back in 1969,Neutra
144,"However, there were a couple of things that bothered me about the story",Negativa
145,"Cuthbert is expecting a child, but has twins",Neutra
146,The book starts off with a wild prologue that sets up the Keys to the Kingdom series,Neutra
147,Marshall takes you on a roller coaster ride of emotions,Neutra
148,When the twins are six they begin school,Neutra
149,"His supposed motivation for jumping through all the hoops that Nix puts him through is to find a cure for the plague that's sweeping his hometown, but it really seems like he's just going through the motions because he has to",Neutra
150,"But the Days tore the Will into seven pieces and scattered the scraps across the known worlds to be guarded forever more, and only now - thousands of years later - has one fragment of the Will managed to escape",Negativa
151,I thought that it was a very good book,Positiva
152,"So along the way he meets Suzy Turquoise Blue who once was a human like Arthur, but has become a ""denizen"" of the house where it is almost impossible to be killed/die and you never Have to eat or drink, and never get colds",Neutra
153,It wasn't really my type anyway,Negativa
154,"What I liked most is the thematic of the book which says that ""Everything came from Nothing"" because it tries to explain the origin of the universe",Positiva
155,I give this book  five stars because it wasn't to long and it was written in a reasonable  sized print,Positiva
156,"ANyway, the book was action packed and very fast paced",Neutra
157,He must confont the sloth Mister Monday in order to gain mastery of the lower house and save his world,Negativa
158,If you are interested in reading a Gregory MacDonald book then read one of the earlier Fletch novels,Neutra
159,"The men, with the exception of leading man Tony Hill, are mostly all egotistical, back-stabbing, power-hungry morons of the lowest order, while Hill is rendered impotent -- a redundant bit of emasculation since all the other males are castrated of their moral fiber",Negativa
160,"In one word, it is a pseudo-science",Neutra
161,"Mister Monday follows the story of Arthur Penhaligon who, during an asthma attack, is entrusted with a magical key by the mysterious Mister Monday",Neutra
162,"Ok, I am telling you right now, I always finish a book if nothing else just to get closure, but I stopped and finally put it down and just couldn't waste my time anymore",Negativa
163,I definitely won't read the rest of this series,Negativa
164,"But when he publishes a novel of such quality as THE INTRUDERS, one remembers that any book of his is worth the wait, no matter how long it may be",Neutra
165,"When the idea that she's got to go somewhere sets her traveling, the people who help her along the way come to rue it as this nice, little girl with headaches has a killer's instincts",Negativa
166,Garth Nix is becoming one of my favorite authors of all time,Positiva
167,"Diabola causes chaos wherever she goes, whereas Angela is ever so sweet and angelic",Neutra
168,"I recommend THE INTRUDERS if you enjoy good writing, but if you want a great story, you should try THE STRAW MEN instead",Positiva
169,"On of the greatest scenes of action is when Arthur and Mister Monday are fighting, the descriptiveness was so vivid I thought I was watching them the whole time",Positiva
170,"If you only have time to read one chapter, read chapter 2 ""Heart of Whiteness"" about the wedding industry",Positiva
171,"It was hard to care about the side characters, because they were so bizarre",Negativa
172,It's a story of a middle school aged kid named Arthur,Neutra
173,""" Arthur has already saved my world from the Sleepy Plague and I'm not particularly taken with the rest of Nix's mixed-up Universe",Negativa
174,"I really liked the book a lot, but six more books seems like too much to read when I already have an extensive reading list",Positiva
175,I think that Angela and Diabola is the best book I read this year!!!!!!!!!!,Positiva
176,I am amazed by Kingston's ability to present different perspectives and surprised by her ability to resolve many issues,Positiva
177,"class see the creatures too, so Arthur apprehensively goes on his journey as the reluctant hero who is bound to find a way to save his community and family",Neutra
178,Monday?	Garth Nix has done it again with this sure to top the lists yarn,Positiva
179,"because the Will tricked Mister Monday into giving the key to Arthur, Noon",Neutra
180,"When Angela is near Diabola,  she can't do anything wrong",Neutra
181,Angela was born  with the personality of an angel where as her twin sister Diabola was born  with the personality of a devil,Neutra
182,"Just know that, whereas some books are a veritable feast for the mind that leave you filled to capacity for days, The Intruders is more like a frozen dinner: tasty, but not that satisfying",Negativa
183,"Dog-faced men, the Will, the Nightsweeper, and thousands more",Neutra
184,Author Anne Kingston deserves five stars-plus for her exhaustive research and objective presentation of the subject,Positiva
185,He's much more on the ball then you first think,Positiva
186,Mister Monday is the kind of book that pulls you in after the first page and pulls you to the end,Positiva
187,"The book also discusses wifely history, and of great concern to me these days, what women and men are doing about The Name Problem",Neutra
188,This story while showing glimpses of his intelligence disappointingly reverts to this original perception and it feels like you are reading the same story again,Negativa
189,Harry Potter lovers can definitely find a new love in this series,Positiva
190,"All and all, the book was great, and I recommend it to fantasy readers everywhere",Positiva
191,I could not put this book down,Positiva
192,"Although The only reason Arthur is in this adventure is so he can save the world from the plague the ""Key"" brought with it",Neutra
193,"Like most of Nix's heroes, the poor kid is desperately running and searching, and learning from those ahead of him",Neutra
194,The entire idea of the House with different levels of work (mostly paperwork) is extremely creative,Positiva
195,The Meaning of Wife picks up where that excellent book ends,Neutra
196,It is when an ex colleage of profiler Tony Hill's is found slain that he takes it upon himself to investigate the killings,Neutra
197,I love Garth Nix's books but I did find Mr,Positiva
198,I thought it was the kind of book where you really thought you would start reading and not want to put down,Positiva
199,"'Mister Monday' has everything a hugely popular series needs, loveable characters, a complex plot, and buckets loads of creativity",Positiva
200,"It allows us to discuss good-vs-evil, and to hear a hilariously funny book",Positiva
201,"When Arthur is suffering from a asthma attack, two men appear to him, and one gives him a key shaped like the minute hand of an old clock",Neutra
202,It is one of the best books I've ever read,Positiva
203,She acts so badly that Mr,Negativa
204,"I enjoyed the story, but I still don't think its right for pre-teens",Neutra
205,The illegally produced and supplied alcohol was only produced by those willing to disobey the way,Neutra
206,"Alongside that, psychologists are being murdered on the contient",Negativa
207,"Overall, despite the quirky environment and characters, the story felt predictable and a bit templated in its structure",Negativa
208,If you are looking for a mystery forget it,Negativa
209,"Nix's prose is by no means a thing of wonder on its own, but his characters, his humor and his whimscal worldbuilding make up for this fact",Positiva
210,Freud's concepts are untestable (the experience - transfer - between analysand and analyst is unique) and nebulous (reality can always be made conform to the system),Negativa
211,"After reading nearly 30 novels, Poirot had been a part of life",Neutra
212,Their power were so strong that the bad one can make people sick by using her eyes and the good one can cure them if she want,Neutra
213,First of all Arthur who changed from assort of goofy asthmatic kid who couldn't run or fight in to a great hero,Positiva
214,The only aspect of the story I found troubling was the placement of the two main characters so close together while they were working on different operations,Negativa
215,"""Written slightly below the level of the Harry Potter books this series should still capture the attention and imagination of young readers attracted to these types of stories",Positiva
216,The main character Arthur has just moved to a new school (typical of children's books) and is plagued with asthma,Neutra
217,"Liz and Maggie are the main characters so this could be described as a book for girls, but the lives of Sean and Dennis are also described in important sub-plots",Neutra
218,"A rich stew of surreal Alice in Wonderland-type imagery and characters, elements reminiscent of myths, an alternate universe, endless hair's breadth escapes, grisly horror, and mystery, Keys to the Kingdom never lags",Neutra
219,Without any sense of trying to make the experience any more horrifying than it was Primo Levi describes the day to day existence with clarity,Positiva
220,"Diana Wynne Jones writes the most fantastic young-adult fiction I've ever read, so when I heard that she'd also written one for younger children, I couldn't wait to read it",Neutra
221,After Arthur had to go on a bus but made him self have an asthma attack and then was taken to the bus to be taken to the hospital,Neutra
222,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
223,"Then we meet Jack Whalen, ex-LA beat cop &amp; a one-book author who's struggling to write another",Neutra
224,"At first I was amused an entertained by Angela and Diabola the novel by Lynne Reid Banks, but as it progressed and became exceedingly darker, I read the jacket to  find that this book was recommended for ages 9-12",Neutra
225,"Not only is The Meaning of Wife jam packed with original research, it also jellies over with meaning! I can't tell you how many times I have pulled this book BACK OFF THE SHELF since placing it there a few weeks ago upon finishing it",Positiva
226,He portrayals are probably much more accurate than generic description of violence that have become so prevalent and cliché that they are barely noticed,Positiva
227,"This included blackmail, torture, and murder",Neutra
228,"My only comments are ""Do we really need the Ed and Leaf characters?"" and ""Why's the guy in Ancient Greece speaking English?""  Ed and Leaf may be useful throughout later books in the series, but the Greek guy seems to have been a boo-boo",Negativa
229,"I would recommend ages 8 and over because that's the ages it would make sense to, but if you are younger you can ask your parents to read it to you",Positiva
230,They have serious difficulties in forging personal relationships which makes their relationship all the more poignant,Positiva
231,"Arthur is a sympathetic but flawed character and Nix, without preaching or moralizing, manages to portray his compassion and a strong sense of right and wrong that truly make him worthy to be the Architect's Heir",Positiva
232,"The wife and child of a prominent scientist are murdered, and the scientist disappears",Neutra
233,And it's an exciting story that holds your interest until the end,Positiva
234,"The writing is detailed, evocative, and never lags for a minute",Positiva
235,Maggie and Liz get into a lot of trouble these days,Negativa
236,"It's not a sort of book for a reluctant reader, or someone under the age of 12",Negativa
237,Here's a thriller that really thrills,Neutra
238,Jack goes to Seattle to find her and instead finds her cell phone abandoned in a cab and lots of questions--but no answers,Neutra
239,"The assignment concerns getting to know and possibly date a criminal in Germany who imports illegal immigrants from Asia, as well as, drugs",Negativa
240,A young girl goes missing from an Oregon resort town,Neutra
241,"Arthur has to go to a foreign realm and defeat an enemy that has so much more power than he does, if Monday was a T-Rex then Arthur would be a blade of grass compared to him",Neutra
242,Dusk who tried to get the key but could not because the key has already bonded,Neutra
243,Ilove the book,Positiva
244,I thought this book was an okay book because it had old words like hip,Positiva
245,Its Arthur Penhaglion's first day at school and things aren't going so well,Neutra
246,"I don't find her descriptions to be gratuitous, just very graphic",Positiva
247,To tell the truth I find this novel one of Zindel's less successful works,Neutra
248,After that Diabola starts acting even more diabolic,Negativa
249,So now it's up to Arthur to set things to right,Neutra
250,There was good action,Positiva
251,"Arthur starts to think he is losing it, but a few friends from his P",Neutra
252,"Monday was a funny, lazy villian (or rather a sleepy villian)",Positiva
253,"He eventually finds his way into a bizarre realm known as the House, which turns out to be, essentially, the ""Command and Control"" center for the rest of the universe",Neutra
254,Paul really  emphasizes what sex can lead to and at the same time gets into teenagers  head to really think about doing things out before executing them,Neutra
255,"All other characters are vivid and interesting, both good and bad, and immensely memorable",Positiva
256,"Arthur's immediately visited by the sleepy Mister Monday and his butler Sneezer, and is given a key in the shape of a clock hand",Neutra
257,"It was a wonderful book, that will capture you from the beginning",Positiva
258,I really fell for this book,Positiva
259,Their mother always has to deal with her,Neutra
260,Nix's previous work,Neutra
261,But when the vicar saw them he named them Angela &amp; Diabola which  means angel &amp; devil,Neutra
262,Too many characters and plot twists leave the reader wondering who is who and what is going on,Negativa
263,"While at school Arthur obtains a ""Key"" shaped like a minute hand on a clock",Neutra
264,This is where Arthur must unravel the secrets of the key and discover his true fate,Neutra
265,I  suggest this book should be read by 7 years olds and up,Neutra
266,I would recommed this book for ages 11 and up,Positiva
267,"But I will say that Garth Nix is a very clever, talented writer",Positiva
268,"During this attack, A strange man named Mister Monday comes, and is tricked into giving Aurther a minute hand shaped ""key""- which is what they called it",Neutra
269,Carol Jordan is an ambitious Detective Chief Inspector who is well trained in criminal intelligence,Positiva
270,Mister Monday is the first book of The Keys to the Kingdom by Garth Nix,Neutra
271,"We see people with angel wings, dinosaurs, an old guy with drilled out eyes, elevators of light, monsters with backwards faces who have one leg longer than the other, etc",Neutra
272,"If you like your suspense novels to be offbeat and edgy, and you don't mind a few genuine shocks, THE INTRUDERS is the book for you",Positiva
273,"I must admit, I was a little weary of The Intruders when I first saw it: a cheesy front cover, with an inside flap that promised only what any other mystery novel could offer",Negativa
274,But one day he encounters a strange man called Mr,Neutra
275,"Arthur is suspended between many betrayals, and has many things like ""Trust the Will"" and then ""Don't trust the Will"" told to him, and is constantly hunted by the lazy mister monday and his Noon (Right hand man), Dawn (Left hand woman) and constantly helped by Mondays Dusk, the final of the trio of the day (You may have guessed Mister Monday can only come to earth on monday, his dawn can only come from 12:01 AM-1:00 AM, Noon can only come from 12:00 PM-1:00 PM, and finaly dusk can come from 11:00 PM-12:00 AM)",Neutra
276,So basically the author took the opportunity to explain all the confusing parts in the book up to that point,Positiva
277,"As a result, he ends up in the hospital regularly",Neutra
278,"And, screen actor Allan Corduner has the power to imbue his reading of the latest by this talented author with the requisite amounts of menace and suspense",Positiva
279,"That morning, Jack's wife had driven to Seattle for a meeting at her ad agency",Neutra
280,"Arthur has really bad asthma, but since the new gym teacher doesn't know it, Arthur is forced to run",Negativa
281,The ending is a depressing let-down,Negativa
282,I also like this book because it was funny and it was about  something that doesn't happen everyday,Positiva
283,"Soon Arthur realizes, that he, himself will have to venture into ""The House"", a house that only he can see, to save his world from utter destruction",Neutra
284,"Arthur soon learns that his immediate problems are not the first day of school, but instead are the fact that he has to become the heir to the center of the universe",Neutra
285,Only Agatha Christie would think to bring an end to her hero in this way,Neutra
286,"During the job she will be almost completely cut off from everybody, and will feel very alone",Neutra
287,"The Meaning of Wife, which is by no means a quick or light read, is well written, engaging, thought provoking and entertaining",Positiva
288,"Everything about the environment and, we could say, culture of the House is a parody and play on real life",Positiva
289,I think Kolbler does a good job of detailing the rise of the Mafia,Positiva
290,Now I felt that it was a great depiction of teenage life that I wanted to share with my teenage daughter as she searches to find herself as she enters the  pre-dating scene,Positiva
291,"This book is so cool! My friend gave it to me for Christmas when I was 8, and I have read it a lot of times",Positiva
292,"But, as Marshall slowly reveals, there are tiny cracks around the foundation of the Whalen family --- not necessarily fissures or yawning chasms, but cracks nonetheless",Neutra
293,"The author makes clear that the meaning of wife is inseparable from images of women from a variety of sources, including corporate advertising, movies, books, etc",Neutra
294,I personally disliked the lack of a group of constant supporting characters in the novel,Negativa
295,"It is an off-beat,slightly wacky and very page-turning book,that I imagine would make a really fun family movie with a similiar humour to Matilda",Positiva
296,"Old legends are given new life (such as the tale of the Pied Piper and the Greek myth of Prometheus) and concepts and symbols given real form: such as the days of the week in human form, and their angelic-looking (but quite devilish) Dawn, Noon and Dusks",Negativa
297,This is a dark side of the moon kind of book it is full of suspense and you never what will happen next,Positiva
298,She had teeth to bite the nurse's thumb and forefinger,Negativa
299,"It seem she wrote it in the 40's, but in was only published in 1975",Neutra
300,I could not put the book down,Positiva
301,"Throughout, Arthur is a sympathetic, understandable protagonist, who reacts to his adventures in a way that you'd expect a young boy to do, but with extraordinary resilience and courage, as does his young sidekick Suzy Turquoise Blue",Positiva
302,on into the inner sactum of the gangleader himself,Neutra
303,"Then I flipped it over and read that the main character, Arthur Penhaligon, was supposed to die, yet he didn't",Neutra
304,Arthur does not know the danger ahead of him untill the night somebody shows up at his window,Neutra
305,"One is good(called Jill),another is bad(called Jane)",Neutra
306,"Though this series is different from Garth Nix's preivous two series, it's still stays up to my espectations of being mysteroius and strange",Positiva
307,"The kindergarten group that I read this book to really enjoyed it, I had to read it more than once to them!",Positiva
308,"From what I've heard, the author Garth Nix doesn't believe in any religion, and you can see this reflected in the main character Arthur at one point",Neutra
309,It was just awesome,Positiva
310,The story was well plotted and moved quickly,Positiva
311,"I really loved the fast pace, the vivid descriptions, and the characters",Positiva
312,"He grabs your lapels and shakes this theory into you until you reach a point where you just want to slap his hands away, he's so insistent",Negativa
313,"Murphy, and illustrated by Holly Keller",Neutra
314,"This book is well written and extremely intrigueing,as I found; once I started it, I couldn't put it down! It rocks!Garth Nix has a way with words",Positiva
315,"Sealed within a small fragment, the Will of the Architect, she who had created this realm and all that inhabit it, her Will had been sealed away, over time the ecurity had become lax, for Sloth has taken over the Lower Atrium of the House",Neutra
316,"Arthur must get through some horrifying trials to save his Earth from the plague, and to prove that he is the Rightful Heir",Neutra
317,"Garth Nix's 'Mister Monday' was a highly clever, creative, and entertaining read that had me up into the wee hours of the morning following Arthur's adventures in the House",Positiva
318,I was glad to find out where Suzy came from,Neutra
319,Most of the book explores the tricks and turns by which psychoanalysis maintained its authority,Neutra
320,This was an extremely fun read,Positiva
321,"In the book a senior named Liz faces problems like: I love my boy friend, but do I love him enough to have sex with him; and If I do get pregnant what will I do? Will I have the baby or get an abortion?  Paul Zindel did a great job writting this book",Positiva
