,Sentence,Polarity_Classification
37,Nix makes some interesting speculations upon the origins of the universe,Positiva
38,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
39,They have enjoyed it too,Positiva
40,The rest of the characters were a bit like paper dolls,Negativa
41,There he discovers a world beautifully ripe with clockwork imagery and centralized around the written word,Neutra
42,"The book had a far-fetched premise, but once I was able to move past that detail, the book was readable, albeit unrealistic",Negativa
43,"Mister Monday commences the series, with Arthur inhereting a strange key in the shape of a minute hand from a clock",Neutra
44,It is well worth your time to read this one,Positiva
45,Another cool part of the story is how he described the landscapes that were in the book,Positiva
46,The people that wouldn't like this would be boys,Negativa
47,This is the weakest book in the series,Negativa
48,He has a feeling that the answer to curing the sick people is to go in there,Negativa
49,This book had some wonderfully absurd moments along with brief flashes of pure genius,Positiva
50,A little girl in Oregon goes missing,Neutra
51,"""The Meaning of Wife,"" by Anne Kingston, is an eye-opening page turner, which confronts social patterns, ideologies, and generalizations of what it means to not only be a wife, but a woman in Western Society",Neutra
52,Garth Nix creates a vast array of imaginative creatures with incredible talents,Positiva
53,La Cosa Nostra and organized crime in America thrived under the laws of prohibition,Neutra
54,"&lt;br&gt;    Then, Aurther notices a strange house that only he can see",Neutra
55,Very good characters with competent development and well thought out roles within the story,Positiva
56,"At the same time, a serial killer is murdering psychology professors in Germany",Negativa
57,"Don't get me wrong, the book had storyline like no other, it's characters ( or bad guys ) were discribed in a way you just couldn't miss em and",Positiva
58,I loved the chapter: Diabola develops new skills,Positiva
59,The whole key thing was a good idea,Positiva
60,"After that day, he starts seeing a large house",Neutra
61,THIS BOOK WAS THE BEST NUMBER ONE 1,Positiva
62,"Here is the ultimate biography of the most brutal, flamboyant gangster of all time-Al Capone",Positiva
63,i love this book and would reccomend it to any teenage person,Positiva
64,Cholla buds - basic preparation,Neutra
65,"This is a must-read for all, whether you're a wife or a non-wife!",Positiva
66,Not a bad little page-turner,Positiva
67,) I also feel that there is too much generalization - the author does not give much credit to individual choices &amp; feelings,Negativa
68,"Although I am young,currently at age of 15, I hope that my review will help those of my age who are looking for a good read, in addition to whatever books they may be reading now",Positiva
69,"I was hooked!!&lt;br&gt;Garth Nix is a awesome writer and though the book is a little babyish - its definetly worth a read!&lt;br&gt;I thought the whole minute - hand - is - a - key part was a real good idea plus the names are so fun!&lt;br&gt;The only thing I didn't like was that Arthur doesen't take his rightful place as ""Monday""",Positiva
70,"As Diabola becomes meaner, she develops powers",Negativa
71,The principal only starts to doubt that Diabola is a genius when she burns down the school building,Negativa
72,"The killer was only mildly surprising, and so was how the killer  would get caught",Neutra
73,"Diabola also discovers that she has powers where she can set things on fire, which is how she burned the school down",Neutra
74,"The story is worked around how the sisters cope with other people, and each other",Neutra
75,"A villain, his messenger with blood stained wings, and an army of dog faced creatures will do anything to get the key back, even if it means destroying Arthur and everything that surrounds him",Negativa
76,It's a wonderful blend of desert culture and how-tos,Neutra
77,"Highly recommended, especially for the younger set, and any adults who enjoy a little Through The Looking Glass style whimsey",Positiva
78,"The main reoccurring theme is ""from nothing we came, and to nothing we return"" a bit unsettling for the typical child",Neutra
79,"This book is about two sisters, Angela &amp; Diabola",Neutra
80,"The Will, both in frog and human form, is wonderfully quirky and cranky, and even Mister Monday turns out not to be irredeemable",Positiva
81,I liked it when Dybo pushed  miss Mursles off the climbing frame without any clothes on! Angela and Diabola is a great book for all ages because it is not violent but it is extra funny,Positiva
82,"This book is about a boy named, Arthur, who recieves a key and an atlas from a mysterious man named Mister Monday",Neutra
83,"Now in is astonishing new novel, Michael Dobbs throws brilliant fresh light upon Churchill's relationship with the Soviet spy and the twenty months of conspiracy, chance and outright treachery that were to propel Churchill from outcast to messiah and change the course of history",Positiva
84,the day to day existance as a slave in,Neutra
85,I could not put this book down,Positiva
86,Cuthberson-Jones is left alone to cope with DIabola something she has never done before,Neutra
87,So all in all this was a great book I would recommend it to anyone,Positiva
88,"I would have preferred more emphasis on Tony Hill's aspect of the book, but we don't always get what we want, and this book certainly displays Carol Jordan's full abilites",Positiva
89,"One doesn't know what is coming, or whether the author does either, but its fun",Positiva
90,The illegally produced and supplied alcohol was only produced by those willing to disobey the way,Neutra
91,"Unfortunently, the Will has unknowingly enlisted help",Neutra
92,"Arthur Penhaligon is an average adolescent, provided he is asthmatic",Neutra
93,"Not only is The Meaning of Wife jam packed with original research, it also jellies over with meaning! I can't tell you how many times I have pulled this book BACK OFF THE SHELF since placing it there a few weeks ago upon finishing it",Positiva
94,"This brilliantly written, corrosive text contains excellent short evaluations of Nietzsche, Marx, Berkeley, Plato and Stoicism",Positiva
95,T here Arthur met a girl named Suzy Turquoise,Neutra
96,Highly recommended,Positiva
97,"This leads to other rackets, and the Mafia is born",Neutra
98,"On Cannon Beach in Oregon, a nine year old girl is struggling with nightmares, her parents' uneasy marriage, &amp; something far more frightening: loss of memory &amp; the arrival of a stranger as she's out on the beach wondering how she got there",Negativa
99,This disbelief is compounded by the lengths that are taken initially to insure that the operation is not comprimised,Neutra
100,"If you are looking for a thrilling fantasy book, I recommend that you read the series of books The Keys to the Kingdom by Garth Nix",Positiva
101,"Already a huge fan of Garth Nix, via Sabriel &amp; co",Positiva
102,He is now on the trail of a criminal who targets psychologists and murders them in a particularly gruesome manner,Neutra
103,Read Garth Nix for unique and engaging fantasy,Positiva
104,"I'm inclined to agree with Ramseelbird's review, and unlike indiegirl29, I don't recall Liz going out with another guy who nearly rapes her",Neutra
105,Instead he took cell phone photos of crime scenes where the perpetrator was an intruder,Neutra
106,"Diabola in the other hand was born crying, kicking fighting",Negativa
107,This book is nice for schoolchildren because it teaches them good values,Positiva
108,The solution given here is fantastic and a bit bizarre and there lies the appeal of this book,Positiva
109,"Book: My Darling My Hamburger&lt;br&gt;Author: Paul Zindel&lt;br&gt;Number of Pages: 122&lt;br&gt;Publisher and Publication Date: 1969 Harper and Row publishers&lt;br&gt;ISBN: 0-553-27324-8&lt;br&gt;Price (if available) and whether it is paperback or hardback: Hardback 	   Imagine if you had parents that never trusted, or that never would believe you",Neutra
110,"In an effort to do whatever he can to save his family, his friends, and his world, Arthur Penhaligon enters the strange House that only he can see",Neutra
111,His gym teacher forces him to run a cross country race even though he explains that he had just recovered from a serious bout of Asthama,Neutra
112,In one sentence I can sum it up as it was a wonderful and nostalgic experience going through the pages,Positiva
113,"He has an intellectual fascination with details, and the psychology of genocide",Positiva
114,The book I read was very interesting,Positiva
115,"Will Arthur save the world from the plague? How did the ""Will"" escape? Read Mister Monday and all those questions will be answered!",Negativa
116,"Chamberlain was toppled not because he sought to appease Hitler and avert a cataclysm, but because he didn't have the mettle to wage all-out war when the necessity for it was thrust upon him",Negativa
117,The whole book feels a bit contrived,Negativa
118,"The sophistication and talent that a writer needs to maintain two plot lines and ferry seven characters through a full-length novel, may be a challenge to author Val McDermid, but she does it with style, believability and panache in THE LAST TEMPTATION",Positiva
119,"""As complete a dossier on the life and times of Capone as is conceivable",Neutra
120,"Whalen is an ex-LAPD patrolman who retired from the force, wrote a book of some nominal success and now lives with his wife Amy --- a successful marketing executive --- in a small rural community a few hours removed from Seattle",Positiva
121,Her dialogue is crisp and her descriptive writing is vivid yet understated,Positiva
122,"Though they are twins, they are nothing alike",Neutra
123,"These creatures, called Fetchers bring a terrible disease called the ""Sleepy Pluage"", which after afew symtoms like having a cold, puts the infected people to sleep- literally- they fall asleep, and can't be woken up! Aurther is particually sensitive to this outbreak beacuse he is adopted{his birth parents died in a flu outbreak when he was a baby}",Neutra
124,Angela is mature and comforts her parents,Positiva
125,"I don't really care for McDermid's other running characters, but I love the dynamics between Tony Hill and Carol Jordan",Positiva
126,The psychoanalytic movement went on to become one of the major movements in the 20th century,Positiva
127,I LOVE THIS BOOK!&lt;br&gt;This is one of the best books ever,Positiva
128,"Throughout the book we are a fly on the wall listening to the political machinations of the principle characters in the story which include, Chamberlain, Churchill, Ambassador Joseph Kennedy, Lord Halifax, the traitor Guy Burgess, and many others",Negativa
129,"&lt;DIV&gt;&lt;P style=""MARGIN: 0in 0in 0pt""&gt;Do you take a tent to the jungle? Does sand really get everywhere? And how do you even survive in the Arctic? This light-hearted but informative guide offers all the information needed for taking visits to the world’s most remote and inhospitable locations",Neutra
130,The killings are done in a particularly gruesome manner,Negativa
131,"Marshall makes you read through to the end but you'll be scratching your head over many of his plot choices, and I can't make up my mind whether the story is actually crazy stupid, or maybe too smart for a moron like myself",Neutra
132,"It is a very well written book, that is undeniable",Positiva
133,"His characters/story lines are dark, the segues can be hard to keep up with, and you'll probably have to read the book at least twice to pick up on nuances you missed",Neutra
134,"The arc of the stories is huge, but strongly anchored in the characters and Nix's attention to details",Positiva
135,"Skylar, on the other hand, is a breath of fresh air (sorry for  the cliche)",Neutra
136,All the people living at the hotel for the moment are somewhat involved in the matter of the murder,Neutra
137,"Instead, it appears to have been written by a woman with a chip on her shoulder with a pessimistic view of society and women's abilities to think for themselves",Negativa
138,"But THE INTRUDERS is pretty much a middling effort, at least when it comes to the plot",Negativa
139,Garth Nix creates a whole new world for us to explore,Neutra
140,If you are looking for a mystery forget it,Negativa
141,"It is clear from the cover of this book (a woman's left hand, flipping off the reader-with a perfectly manicured and wedding band-clad ring finger) that this is a book for a generation of women who are both used to confrontation and longing for tradition",Positiva
142,"One Monday morining, Aurther is in Gym in his new shcool, and has an asthma attck on the run they were on",Neutra
143,"He just wants to be a normal kid with a normal life, but is sucked into this world of magic and mystery, which he cannot escape",Negativa
144,It really isn't  confusing though,Positiva
145,"But she's such a self-absorbed person, constantly ridiculing her best friend and at the same time dragging Maggie into horrid and dangerous situations, that by the end you feel zippo pity for her",Negativa
146,Marshall tries to weave a sci-fi tale that comes across as an attempt to master a genre he knows little about,Neutra
147,Mister Monday is an interesting Fantasy novel that draws readers in from the very beginning,Positiva
148,The European locations never quite come to life in the same way,Negativa
149,He is supposed to die but is saved by a key,Neutra
150,"Cuthbertson-Jones thinks Diabola hurt the men for her, but really Diabola didn't like the men and had done it for herself",Negativa
151,"Personally, I don't mind the sacrifice of order a bit, especially in a book for children",Positiva
152,This book reminds me of Ravens Gate in a way so if you read and liked it you will love this! One of the best books I have ever read,Positiva
153,Lot's of things happen during the time when they try to solve the murder,Neutra
154,"While Nix creates some unique characters and a fairly interesting hierarchy within the House, it falls flat on its face because the characters are underutilized and not given enough time and attention to mature",Neutra
155,Hill books I've read,Neutra
156,There are some words I did not know such as scientific words and some descriptive words,Positiva
157,"This is a well-written, researched, and balanced look at what marriage means now, not just wife",Positiva
158,When danger stares him in the face he reaches for his inhaler,Neutra
159,She corresponds to a friend in Holland over the Internet and occasionally helps out when it comes to solving crimes,Neutra
160,How did the language of psychoanalysis become the dominant idiom in which the middle classes of the industrialized West speak about their emotions? Ernest Gellner offers a forceful and complex answer to this intriguing question in The Psychoanalytic Movement,Neutra
161,"The children's novel ""keys of the Kingdom Mister Monday"" is a hardcore mix beetween mystery and science fiction",Neutra
162,"The crucial strategic position occupied by Freudianism in the social and intellectual history of mankind, makes it possible for us to learn a vast amount from it about, on the one hand, the general anatomy of belief systems and, on the other, the special conditions prevalent in our age",Neutra
163,This author illustrates for the reader just how vile murder and violence are,Negativa
164,"While running during gym class, he gets an asthma attack",Negativa
165,Watch out for Angela's beauty and Diabola's devilness,Neutra
166,Freud's concepts are untestable (the experience - transfer - between analysand and analyst is unique) and nebulous (reality can always be made conform to the system),Negativa
167,"It's a pleasure to see Garth Nix's Keys To The Kingdom: Mister Monday in affordable paperback, presenting the first book in the series for a new generation of readers in an affordable paper format",Positiva
168,"&lt;br&gt;     This aerchitect left long ago, but left a will to be followed through- BUT IT WAS NOT!!! The will was broken in seven fragments, and scattered through time and space",Neutra
169,"The way they were introduced led me to believe that they'd play a much bigger role, as would Arthur's world, neither of which happened",Neutra
170,This book is an example of kids with problems and their friends problems all in one book,Neutra
171,"I thought that this book was amazing, had great detail, and was imaginative in every way",Positiva
172,"They show the 3 bugs currently under discussion (small, smaller, smallest, for example) in juxtaposition which makes it easy to talk about the concepts",Neutra
173,"Angela is very excited, but Diabola is bored and gloomy",Neutra
174,Arthur knows he has to find a cure for it,Neutra
175,Suddenly everyone is fighting for ownership of a key which will change the world in this first book of a gripping adventure,Positiva
176,"-enjoy the genre of fantasies, of a unknown world, as Nix weaves a wonderful tale of the things that will open your eyes to a different world",Positiva
177,"Arthur soon learns that his immediate problems are not the first day of school, but instead are the fact that he has to become the heir to the center of the universe",Neutra
178,Meanwhile Amy shows up at home and wonders why Jack is so upset,Neutra
179,I realy enjoed this book,Positiva
180,"I felt like Liz was a friend of mine, kind of  like I was Maggie",Positiva
181,Without any sense of trying to make the experience any more horrifying than it was Primo Levi describes the day to day existence with clarity,Positiva
182,This book was a page-turner that I didn't want to put down,Neutra
183,The hero makes wise decisions - but I wouldn't be at all surprised if they came back to `bite him' later in the week!,Positiva
184,"Another scene is when Arthur is being chased by creatures called Nithlings, he is saved by a friend and it explains really well how Arthur quickly climbed a rope and threw tiles at the creatures",Neutra
185,Jordan has helped bring two serial killers to justice and she has paid her dues as a police officer,Neutra
186,"During this attack, A strangfe man named Mister Monday comes, and is tricked into giving Aurther a minute hand shaped ""key""- which is what they called it",Neutra
187,"Arthur is a sympathetic but flawed character and Nix, without preaching or moralizing, manages to portray his compassion and a strong sense of right and wrong that truly make him worthy to be the Architect's Heir",Positiva
188,I picked up Mister Monday with many preconceived notions,Neutra
189,"My only comments are ""Do we really need the Ed and Leaf characters?"" and ""Why's the guy in Ancient Greece speaking English?""  Ed and Leaf may be useful throughout later books in the series, but the Greek guy seems to have been a boo-boo",Negativa
190,"It might be an entertaining point  of discussion with a child 12 or older, but it's too dark for younger ones,  unless you're ready to talk about true evil, adult motivations,  supernatural forces, and fratricide!",Neutra
191,Now I felt that it was a great depiction of teenage life that I wanted to share with my teenage daughter as she searches to find herself as she enters the  pre-dating scene,Positiva
192,"This is my 3rd McDermid novel, I previously read 'Mermaids Singing' and 'Wire in the Blood",Neutra
193,"You will see what I mean (when I say medium) after you read this fabulous, excellent, nourishing, book",Positiva
194,I devoured and enjoyed every bit of this book,Positiva
195,My favorite character in this book was Noon the first big Villain or henchman of Mister Monday,Positiva
196,"Going through the weird house to reach Mister Monday's dayroom isn't easy, but after many trials and some help from a girl named Suzy, Arthur manages to do so",Neutra
197,Tony Hill is on the trail,Neutra
198,"And yet Mr Keay has some great words for it:""No pin-up ever approached the provocative postures, the smouldering looks and the langourous gestures of the Khajuraho nymphs",Positiva
199,While at The Deep Coal Center Arthur met the Old One and,Neutra
200,I thought this was a great book it had non-stop action,Positiva
201,"In this first book in the series, Keys to the Kingdom, we find Aurther Penhaligon, a seventh grader who recently moved to a new and strange home",Neutra
202,"i usually hate stories of teenage life, but this was very good",Positiva
203,"The flow was smooth and being the last case of Poirot, you are tempted to suspect everybody in it",Positiva
204,"Quirky Suzy is reminiscent of a Lloyd Alexander heroine, strong and brave and just a little strange",Positiva
205,Liz and Sean seem to be a smooth and sophisticated senior high school couple,Positiva
206,The Meaning of Wife picks up where that excellent book ends,Neutra
207,"East of the Mountains is the tale of a solitary, 73-year-old Seattle  widower",Neutra
208,A MUST READ,Positiva
209,"way too many characters - I couldn't keep them straight and it was WAY too long, by 50 - 75 pages",Negativa
210,This is great mystery,Positiva
211,Thi book is great,Positiva
212,"When he returns home after another stay in the hospital, Arthur finds that the Key seems to be attracting unwanted attention -- a statue of a Komodo dragon comes alive, and a winged man-dog tries to come into his house",Neutra
213,My favorite secton or scene was when mister monday &amp; Sneezer first appeared,Neutra
214,Using the old theme of parallel universes and kingdoms he transformed a normal 13 year old boy into a hero that holds the primary key to the universe,Neutra
215,"Deliberately author Michael Marshall splits up his story between the first person narration of ex-cop/coffee table book captionist Jack Whelan, with a variety of third person accounts that are purposely confusing and disparate, so that you need a second reading to be able to piece it all together properly",Neutra
216,I finished it in record time because it was THAT interesting,Positiva
217,"I just finished ""Skylar in Yankeeland"" and wasn't overly  impressed",Neutra
218,"Banks has writin better books than this book,",Neutra
219,Her peril's are increased when the actions of her superiours put her in mortal danger,Neutra
220,"While Nicky and Mog are sad at first, they both realize that it's what's best for all involved, and Mog resumes sleeping with Nicky again",Positiva
221,"This book is very informative, describing in detail how to do various types of beadwork, primarily loomwork",Positiva
222,He comes to own a small key that’s shaped like the minute hand of a clock,Neutra
223,"That is why the theme is bravery, Arthur has to summon a level of bravery that he can't, and through the story, he struggles to get this unknown bravery",Neutra
224,I loved it!,Positiva
225,Monday is interesting enough but to really enjoy you have to continue the series,Positiva
226,"on his first day of school, he is surprised by a mandatory run",Neutra
227,"""Indians sometimes called early spring - March - 'the cactus moon' because food was scarce, and this plant was often the only available vegetable food",Neutra
228,Banks was urging girls to be balanced in our increasingly unbalanced world,Neutra
229,"Angela and Diabola is about two sisters, one very angelic, and one very, very diabolic",Neutra
230,"It is a very mysterious book, with more beginnings then ends",Positiva
231,"I'm very glad I did, because this book turned out to be much more than I expected",Positiva
232,"This is a great book, I can't wait to read the second book in this series, Grim Tuesday",Positiva
233,An very cute book for the young child,Positiva
234,&lt;br&gt;	I would definitely recommend this book to People in 6th-9th grade,Positiva
235,Arthur then got better and ran out of the hospital heading for the House,Neutra
236,"The only problem is that the other hand of the clock is owned by the old ruler, who doesn't want to give it away",Neutra
237,"Also, I didn't get the closure I needed at the end between Liz and Maggie",Negativa
238,"It's a book that would best be classed as a shocker with some descriptive, grisly scenes",Neutra
239,It was just like a real story,Neutra
240,"When the twins grow up, they have power to do good things and bad things",Neutra
241,"As Gellner rhetorically asks, concerning the Holy Grail of ""adjustment,"" ""[I]s adaptation, adjustment to any regime, including a tyrannical one, a sign of mental health?""  The Soviets, hardly orthodox Freudians, famously answered ""Yes!""",Neutra
242,"Naturally Arthur wants to concentrate on curing the plague, since his own family is involved",Neutra
243,Do their parents understand or even care about them?  Are they ready for sex?  Meanwhile can Maggie and Dennis learn to communicate enough to stay together?,Neutra
244,"Arthur survives, but soon his whole world is turned upside down",Neutra
245,Ilove the book,Positiva
246,I have never (so far) read a Garth Nix book that doesn't re-inspire me to read more books,Positiva
247,"Next page, she spells out how to harvest and clean the buds for food",Neutra
248,"Kingston covers all the bases, beginning with the world's fascination with Princess Diana's foray into wifedom",Neutra
249,It's like the parents have chores going on and off taking care of Diabola,Neutra
250,"A retired heart surgeon, Ben Givens is an old hand at turning  isolation to his advantage, both professionally and personally: ""When  everything human was erased from existence except that narrow antiseptic  window through which another's heart could be manipulated--few were as  adroit as Dr",Neutra
251,The characters were also cool and well thought out,Positiva
252,"Some of the subplots seemed unnecessary, and should have been severely cropped by a ruthless editor: the love affair between the crippled WWI survivor ""Mac"" McFadden, barber to the politically great and one of Guy's information sources, and Carol, a housemaid and part-time prostitute; and between Bournemouth postmistress Sue Graham and Army Sergeant Jerry White - though the experiences of the latter did usefully tie the Norway debacle into the storyline on a personal level",Negativa
253,&lt;br&gt;	The main characters in My Darling My Hamburger are two girls named Liz and Maggie,Neutra
254,He has a slim chance in the form of a 75-year-old parrot who may know the real killer,Neutra
255,a great dark read for dark fantasy people,Positiva
256,"Overall the story is amazing, Garth Nix is really an incredibly imaginative author and everything he writes is always a great story",Positiva
257,The entire idea of the House with different levels of work (mostly paperwork) is extremely creative,Positiva
258,"&lt;br&gt; &lt;br&gt;Friends Maggie and Liz aren't exactly close, but they hang out frequently together",Neutra
259,But when they go to school the principal thinks Diabola is a genius,Positiva
260,Very enjoyable,Positiva
261,Garth Nix has created a surprising world of fascinating characters and ideas,Positiva
262,"Set in the Pacific Northwest, the prologue of THE INTRUDERS starts with an apparently random home invasion, murder &amp; fire",Neutra
263,up until now i had never heard about garth nix until i found the keys to the kingdom,Neutra
264,One day while in gym class he has an asthma attack and passes out while people are running to get help a man in a wheel chair and another odd looking man appear,Neutra
265,You will never get back the hours you waste on this book,Negativa
266,"It was an interesting story that my 8 yo loved, but my 6 yo was somewhat frightened by it(and he's not frightened by much lately)",Positiva
267,"How convoluted, Salvador Dali thinking processed can you get? The real time part of this book is good and you become attached to the characters, but the minute you go to his otherworld it is so convuluted, out of touch it just can't come together",Positiva
268,Great for the cat or animal lover,Positiva
269,"Churchill, on the other hand starts as an outcast, one who continually cries out that peace with Hitler is an unattainable goal",Neutra
270,I couldn't finish it and I usually love Val McDermid's work,Negativa
271,The research is original and fascinating,Positiva
272,I also loved the chapter: Gym and other lessons,Positiva
273,Here's a thriller that really thrills,Neutra
274,"It was a wonderful book, as was its sequel, Grim Tuesday",Positiva
275,The book is about this kid whose name is authur,Neutra
276,If you are interested in reading a Gregory MacDonald book then read one of the earlier Fletch novels,Neutra
277,""" When they get into a fight once again, Liz goes out with an older guy who practically rapes her",Negativa
278,"A giant House has appeared on the block that only Arthur can see, and ugly dog-faced men in bowler hats are coming after him",Negativa
279,Weird dog faced creatures from the Secondary Realms called Fetchers who were sent to retrieve the key by Mister Monday,Neutra
280,"This spectacular book is sweet, but evil",Positiva
281,He couldn't bear to have more loved ones lost to a disease outbreak,Negativa
282,The characters themselves are paper thin,Negativa
283,I would strongely recommend this book for someone who likes a book in which they can picture all of the important moments,Positiva
284,"The wife and child of a prominent scientist are murdered, and the scientist disappears",Neutra
285,He meets new friends,Neutra
286,This book is a confusing book,Negativa
287,The person who gave it to him is named Monday and wants the key back,Neutra
288,"I do have a suggestion; if you're a ""happy"" person and like to read ""happy happy"" books, Michael Marshall is probably NOT for you",Negativa
289,I recommend this book to any Mystery lover,Positiva
290,"If books on criminal profiling and psychological forensics are your thing, you'll probably really enjoy McDermid's work",Positiva
291,He's pretty normal except for his dad use to be in a rock band and his mom is one of the most famous doctors in the world,Neutra
292,Mister Monday  is a great book and I would highly recommend it,Positiva
293,Capone and before that Torrio become the main influences in the Chicago underworld,Neutra
294,I never suspected the killer to be who she was,Neutra
295,This was a good book,Positiva
296,The reader needs something familiar to help them relate to the story and characters,Negativa
297,I loved how Angela was loved by  every one and No one liked Dioblo,Neutra
298,"Cactus and cactuslike plants - agave, barrel, cholla, etc",Neutra
299,"Likewise, when both Tony and Carol are captured separately, both are left tied up, but only one is gagged, and that omision serves purely to advance the plot from a seemingly impossible situation)",Negativa
300,"For the cour you are with him as he becomes a machination of the Reich, and as he reclaims his humanity in the last chapter",Neutra
301,"It was overall an OK book,but don't  read it if you're anticipating more great literature from him",Neutra
302,I really liked all the action in this book,Positiva
303,But then again Zindel is so far above other writers that I would certainly still recommend reading the novel,Positiva
304,"Finally how everyone changed over the story, the characters in this story changed a lot in through the story",Positiva
305,Anyone who likes Harry Potter would like this book because it is about fighting and neutralizing evil people,Neutra
306,His jumps from character to character and scene to scene are not well put together,Negativa
307,"Val McDermid continues her 'Hill and Jordan' series with an entertaining story that combines a dangerous undercover assignment with an investigation of a serial killer, each of which leaves Tony and Carol on the verge of death!",Neutra
308,She wasn't mean and loud,Positiva
309,But later their parents made them to be christian and the good one called Angela while the bad one called Diabola,Neutra
310,And lots of fun for the adult who refuses to grow up,Positiva
311,Best of the Best,Positiva
312,"Sealed within a small fragment, the Will of the Architect, she who had created this realm and all that inhabit it, her Will had been sealed away, over time the ecurity had become lax, for Sloth has taken over the Lower Atrium of the House",Neutra
313,Author Anne Kingston deserves five stars-plus for her exhaustive research and objective presentation of the subject,Positiva
314,This book is terrific and I loved it!  Could it be this writer is selling more books than her?  It''s a thought,Positiva
315,"I would recommend ages 8 and over because that's the ages it would make sense to, but if you are younger you can ask your parents to read it to you",Positiva
316,"Lynne Reid Banks is a well-thought ,unique, interesting mind",Positiva
317,Its Arthur Penhaglion's first day at school and things aren't going so well,Neutra
318,"The writing is detailed, evocative, and never lags for a minute",Positiva
319,"Arthur, upon whom the story centers, is definately your average selfish &amp; dull little schoolboy, and when he has adventure thrust upon him it is most definately not welcome",Negativa
320,"Even though the book was written in the late 60's, some underlying themes stay the same: pregnancy, abortion, not getting along or being able to communicate with parents, suicide, and premarital sex",Neutra
321,"The writing also starts to improve with this book and the secondary protagonists, two female, European police officers who develop a long-term relationship with each other, are the best of any of the books",Positiva
322,"Once inside the house, he finds obstacles, a friend to help him, and a fragment of the Will which states how everything should be run in the house and the Secondary Realms, in which his house is",Neutra
323,THE INTRUDERS affirm Michael Marshall's winning of the Philip K,Neutra
324,Imagine a vast world inside a House where everything we know in the modern day is questioned,Negativa
325,It has too few words and virtually no plot,Negativa
326,"Her chapter on divorce, for example, portrays women who just about break the law getting back at their ex-husbands",Neutra
327,"Sean, like any normal teenager, is as horny as they come and is continually pressuring Liz to have sex",Neutra
328,As a 7th grade teacher I have discovered that Garth Nix's Keys to the Kingdom series is a fabulous read aloud for my students,Neutra
329,"A couple of days later, his town is invaded by a Sleepy Plague, and Arthur has no other choice but to enter the House and try to save his city",Neutra
