,Title,Title_EN,ISBN,Author,Auth_Sugg,az_EN_link,gr_EN_link,az_IT_link,an_IT_link,Yes24_link,Naver_link,Shelves_gr,N_pag,Rating_gr,Rating_Distr_gr,Num_Voti_gr,Num_Rev_gr,Pub_Date_gr,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az
10,성적표,grade card,9788901074115.0,앤드루 클레먼츠,Andrew Clements,https://www.amazon.com/Report-Card-Andrew-Clements/dp/0689845243/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=The+Report+Card&qid=1637341743&qsid=136-8839435-5223608&s=books&sr=1-1&sres=0689845243%2CB07P55SPD3%2C0971710120%2C1420688561%2C0984746064%2C0375811273%2C0071630155%2C1412940877%2C1462509231%2C0822467771%2CB09CGBNNPD%2CB082WLZWY4%2C0887247873%2CB071FXQN1R%2CB08F6LDV9X%2C0470395338&srpt=ABIS_BOOK,https://www.goodreads.com/book/show/352179.The_Report_Card,https://www.amazon.it/pagella-Andrew-Clements-ebook/dp/B00KVGK22E/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=La+pagella+clements&qid=1637341840&qsid=257-1828628-3940467&s=books&sr=1-1&sres=B00KVGK22E%2CB08VXLZ42T&srpt=ABIS_BOOK,https://www.anobii.com/books/la-pagella/9788817021210/0125bd3c65a7958917,http://www.yes24.com/Product/Goods/2775600,http://book.naver.com/bookdb/book_detail.naver?bid=4300682,"['Realistic Fiction\n129 users', 'Fiction\n103 users', 'Childrens\n100 users', 'Childrens > Middle Grade\n77 users', 'Academic > School\n32 users', 'Contemporary\n25 users', 'Childrens > Chapter Books\n25 users', 'Young Adult\n24 users', 'Childrens > Juvenile\n20 users']",173,3.87,"['32%', '34%', '26%', '7%', '2%']",12253,842,Published January 1st 2006 by Atheneum Books for Young Readers (first published 2004),4.7,"['83%', '10%', '5%', '0%', '0%', '0%', '1%']",405.0,89.0
11,말 안 하기 게임,Honoring game,9788949121277.0,앤드루 클레먼츠,Andrew Clements,https://www.amazon.com/No-Talking-Andrew-Clements/dp/1416909834/ref=sr_1_1?__mk_it_IT=ÅMÅŽÕÑ&keywords=9781416909835&qid=1636372821&s=books&sr=1-1#customerReviews,https://www.goodreads.com/book/show/235127.No_Talking,https://www.amazon.it/gioco-del-silenzio-Andrew-Clements/dp/8817148601/ref=sr_1_1?keywords=Il+gioco+del+silenzio&qid=1637342036&qsid=257-1828628-3940467&s=books&sr=1-1&sres=8817148601%2C8857515974%2C8851174180%2C885117184X%2C1791934048%2CB099BZ79Y4%2C8822732170%2C886858218X%2CB09CRQL4MZ%2CB0973FMTVT%2CB00WNMEW84%2C8804725303%2C8833700747%2CB092P62RKY%2C8891831360%2CB08JLHQFG7&srpt=ABIS_EBOOKS,https://www.anobii.com/books/il-gioco-del-silenzio/9788817056410/012eea3bffca341955,http://www.yes24.com/Product/Goods/4070881,http://book.naver.com/bookdb/book_detail.naver?bid=6339572,"['Realistic Fiction\n189 users', 'Childrens > Middle Grade\n112 users', 'Fiction\n100 users', 'Childrens\n93 users', 'Academic > School\n48 users', 'Humor\n45 users', 'Young Adult\n42 users', 'Contemporary\n37 users', 'Childrens > Juvenile\n35 users']",146,3.96,"['37%', '33%', '22%', '6%', '2%']",18456,1262,Published June 26th 2007 by Atheneum Books for Young Readers (first published January 1st 2007),4.7,"['80%', '12%', '5%', '1%', '1%']",638.0,188.0
12,위쳐,Blood of Elves,9788959522392.0,안제이 사프콥스키,Andrzej Sapkowski,https://www.goodreads.com/book/show/6043781-blood-of-elves,https://www.amazon.it/Blood-Elves-Andrzej-Sapkowski/dp/031602919X/ref=sr_1_1?__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=9780316029193&qid=1636373178&s=books&sr=1-1#customerReviews,https://www.amazon.it/sangue-degli-elfi-witcher/dp/8842932434/,https://www.anobii.com/books/il-sangue-degli-elfi/9788842916659/0172232e733b716731,http://www.yes24.com/Product/Goods/5822647,http://book.naver.com/bookdb/book_detail.naver?bid=6750857,,,,,,,,,,,
13,AFTER 애프터 1,After after After 1,9791188253036.0,안나 토드,Anna Todd,https://www.amazon.com/After-1-Anna-Todd/dp/1476792488/,https://www.goodreads.com/book/show/22557520-after,https://www.amazon.it/After-Nuova-ediz-Vol-1/dp/8855440705/,https://www.anobii.com/books/after/9788800689243/014b79efe2c5b38347,http://www.yes24.com/Product/Goods/64244327,http://book.naver.com/bookdb/book_detail.naver?bid=13982827,"['Romance\n2,141 users', 'New Adult\n869 users', 'Contemporary\n533 users', 'Young Adult\n463 users', 'Academic > College\n261 users', 'Fiction\n253 users', 'Romance > Contemporary Romance\n171 users', 'Audiobook\n122 users', 'Adult\n95 users']",582,3.72,"['39%', '24%', '18%', '9%', '10%']",203333,17015,Published October 21st 2014 by Gallery Books,4.7,"['83%', '9%', '4%', '2%', '3%']",10979.0,1541.0
14,AFTER 애프터 2,After After 2,9791188253043.0,안나 토드,Anna Todd,https://www.amazon.com/After-We-Collided-Anna-Todd/dp/1501104004/,https://www.goodreads.com/book/show/22540125-after-we-collided,https://www.amazon.it/Cuore-Mille-Pezzi-After-Speciale/dp/8820069016/,https://www.anobii.com/books/after-2/9788820058685/01e680c35261280447,http://www.yes24.com/Product/Goods/64244331,http://book.naver.com/bookdb/book_detail.naver?bid=13982830,,,,,,,,,,,
15,내 이름은 삐삐 롱스타킹,My name is Pipi Long Sat,9788952785404.0,아스트리드 린드그렌,Astrid Lindgren,https://www.amazon.com/Pippi-Longstocking-Astrid-Lindgren/dp/0140309578/ref=sr_1_1?qid=1637936673&qsid=136-8839435-5223608&refinements=p_27%3AAstrid+Lindgren&s=books&sr=1-1&sres=0140309578%2C3789129402%2C3789161306%2C3837308081%2C0698115910%2C3789114502%2C0670876127%2C0140309594%2C3789141771%2C3789141615%2C3789141712%2C0140317201%2C3789141186%2C3789161314%2C014032609X%2C0140309586&text=Astrid+Lindgren,https://www.goodreads.com/book/show/19302.Pippi_Longstocking,https://www.amazon.it/gp/product/B00UXJ3JCY/,https://www.anobii.com/books/pippi-calzelunghe/9788869183034/0137f1d9bd55f451d2,http://www.yes24.com/Product/Goods/40752580,http://book.naver.com/bookdb/book_detail.naver?bid=12058300,"['Classics\n1,651 users', 'Childrens\n1,541 users', 'Fiction\n1,122 users', 'Childrens > Middle Grade\n359 users', 'Young Adult\n340 users', 'Fantasy\n304 users', 'Humor\n254 users', 'Adventure\n192 users', 'Childrens > Juvenile\n140 users']",160,4.13,"['45%', '31%', '18%', '4%', '2%']",181989,4230,Published April 21st 2005 by Puffin Books (first published 1945),4.7,"['84%', '10%', '3%', '1%', '1%']",3091.0,890.0
16,사자왕 형제의 모험,Lion King Brother's Adventure,9788936440466.0,아스트리드 린드그렌,Astrid Lindgren,https://www.amazon.com/Brothers-Lionheart-Astrid-Lindgren/dp/0192729047/,https://www.goodreads.com/book/show/19312.The_Brothers_Lionheart,https://www.amazon.it/I-fratelli-Cuordileone-Astrid-Lindgren/dp/8831003771/,https://www.anobii.com/books/i-fratelli-cuordileone/9788877829368/012008639096830b8a,http://www.yes24.com/Product/Goods/16205,http://book.naver.com/bookdb/book_detail.naver?bid=172843,"['Fantasy\n610 users', 'Childrens\n349 users', 'Classics\n337 users', 'Fiction\n268 users', 'European Literature > Swedish Literature\n111 users', 'European Literature > Scandinavian Literature\n73 users', 'Adventure\n67 users', 'Childrens > Middle Grade\n64 users', 'Young Adult\n58 users']",231,4.32,"['55%', '29%', '12%', '3%', '2%']",32503,1126,Published December 31st 2004 by Purple House Press (first published 1973),4.7,"['83%', '11%', '4%', '2%', '1%']",226.0,97.0
17,에밀은 사고뭉치,Emil is an accident bunch,9788984141636.0,아스트리드 린드그렌,Astrid Lindgren,https://www.amazon.it/Emil-Great-Escape-Astrid-Lindgren/dp/0192727206/,https://www.goodreads.com/book/show/3131741-emil-i-l-nneberga,https://www.amazon.it/gp/product/B08MYSDPMT/,https://www.anobii.com/books/emil/9788884514868/018df36fa736d13953,http://www.yes24.com/Product/Goods/9432658,http://book.naver.com/bookdb/book_detail.naver?bid=7289964,,,,,,,,,,,
18,"다 빈치 코드 1,2권 세트","Da Vinci Code 1,2 volumes set",9788957590508.0,댄 브라운,Dan Brown,https://www.amazon.com/Vinci-Code-Robert-Langdon-Book/dp/0552159719/,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,https://www.amazon.it/Codice-Vinci-Dan-Brown/dp/8804667222/ref=sr_1_1?keywords=Il+Codice+Da+Vinci&qid=1636512200&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667222%2CB00Z6KNFSI%2C8834421175%2CB009UDYLM6%2CB00DWZGN10%2C8804665378%2C8804667249%2C8860480116%2CB08P3D154N%2C8804667257%2C8809873505%2C8870945669%2C8889369884%2CB08P18NGK1%2C8809865553%2CB0898WHV4R&srpt=ABIS_BOOK,https://www.anobii.com/books/il-codice-da-vinci/01a004a71a06a81561,http://www.yes24.com/Product/Goods/1392155,http://book.naver.com/bookdb/book_detail.naver?bid=1221783,"['Fiction\n17,864 users', 'Mystery\n9,679 users', 'Thriller\n7,449 users', 'Suspense\n1,888 users', 'Thriller > Mystery Thriller\n1,818 users', 'Historical > Historical Fiction\n1,740 users', 'Adventure\n1,453 users', 'Novels\n1,328 users', 'Mystery > Crime\n1,269 users']",489,3.88,"['34%', '34%', '20%', '7%', '4%']",2090194,49510,Published March 28th 2006 by Anchor (first published March 18th 2003),4.6,"['78%', '14%', '5%', '1%', '2%']",6494.0,2604.0
19,인페르노 1,"Inferno 1 -> Infernot set 1,2",9788983924872.0,댄 브라운,Dan Brown,https://www.amazon.com/Inferno-Version-Inglese-Dan-Brown/dp/0385537859/,https://www.goodreads.com/book/show/17212231-inferno,https://www.amazon.it/Inferno-Dan-Brown/dp/8804665378/,https://www.anobii.com/books/inferno/01fb96cb4ddce73368,http://www.yes24.com/Product/Goods/32692839,https://book.naver.com/bookdb/book_detail.naver?bid=7235152,"['Fiction\n5,289 users', 'Thriller\n3,324 users', 'Mystery\n3,138 users', 'Thriller > Mystery Thriller\n785 users', 'Suspense\n750 users', 'Historical > Historical Fiction\n715 users', 'Adventure\n646 users', 'Novels\n479 users', 'Mystery > Crime\n464 users']",463,3.86,"['30%', '37%', '24%', '7%', '2%']",511729,37852,Published May 14th 2013 by Doubleday,4.2,"['54%', '23%', '14%', '6%', '3%']",29387.0,24943.0
20,"천사와 악마 1,2권 세트","Angel and Devil 1,2 volumes set",9788957590751.0,댄 브라운,Dan Brown,https://www.amazon.com/gp/product/B000FBJFSM/,https://www.goodreads.com/book/show/960.Angels_Demons,https://www.amazon.it/Angeli-demoni-Dan-Brown/dp/8804667249/ref=sr_1_1?keywords=Angeli+e+demoni&qid=1636512186&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804667249%2C0813227992%2C8867371088%2C8810503112%2C0061350249%2CB08HTM6BNL%2C8830457205%2C8885939732%2C055216089X%2C8821595951%2C8408175742%2CB08PJQ387J%2C1704725542%2CB088LGHKMF%2CB002OFDSP8%2CB095GFKVW3&srpt=ABIS_BOOK,https://www.anobii.com/books/angeli-e-demoni/9788852013812/010060eb1bf828a51f,http://www.yes24.com/Product/Goods/1416947,http://book.naver.com/bookdb/book_detail.naver?bid=1459754,"['Fiction\n12,478 users', 'Mystery\n7,274 users', 'Thriller\n6,407 users', 'Suspense\n1,565 users', 'Thriller > Mystery Thriller\n1,560 users', 'Adventure\n1,158 users', 'Mystery > Crime\n1,142 users', 'Historical > Historical Fiction\n1,040 users', 'Novels\n880 users']",736,3.92,"['36%', '34%', '21%', '6%', '4%']",2876855,30689,Published April 1st 2006 by Pocket Books (first published May 2000),4.6,"['74%', '18%', '5%', '1%', '2%']",5473.0,2242.0
