,Unnamed: 0,Link_Anobii,Author,Title,ISBN_an,Shelves_An,Num_Rev_An,Num_Voti_An,Stars_An,Num_Pages_An,Pub_Date_An,Lingua_An,Link_Amazon,Link_Amazon2,Title_az,Author_az,ISBN_az,N_Pages_az,Rating_az,Distr_Rating_az,Num_Voti_az,Num_Review_az,Pub_Date_az,Lingua_az
10,10,https://www.anobii.com/books/appuntamento-con-la-paura/019d8d60036af99c44,Agatha Christie,Appuntamento con la paura,A000167325,"[' Crime\xa0 ', ' Fiction & Literature ', ' Mystery & Thrillers ']",33,411,3.56,253,"Publisher
Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/019d8d60036af99c44/amazon-it,https://www.amazon.it/Appuntamento-paura-Agatha-Christie/dp/8804704632/ref=sr_1_1?keywords=Appuntamento+con+la+paura&qid=1636509659&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804704632%2C8804508523%2CB01M28D2I5%2C8880337742%2CB08S2P8KXY%2C8804716312%2CB092DPXXFM%2CB095MDD7SK%2C8842932930%2CB07Y7LTC18%2CB08MSV1S33%2CB0915N24YK%2CB08SH89MSM%2C8859001536%2C8804729201%2C8847238013&srpt=ABIS_BOOK,Appuntamento con la paura,Agatha Christie,978-8804704638,220,4.1,"['48%', '35%', '9%', '0%', '0%', '0%', '8%']",16.0,6.0,"
Editore
‏
:
‎

Mondadori; 27° edizione (23 gennaio 2019)
","
Lingua
‏
:
‎

Italiano
"
11,11,https://www.anobii.com/books/arsenico-e-tazze-di-te/9788804730033/01b355c40ac2cdc3fa,Agatha Christie,Arsenico e tazze di tè,9788804730033,"[' Fiction & Literature ', ' Mystery & Thrillers ']",1,1,4.5,160,"Publisher
Mondadori (Oscar gialli)",About this Edition,https://affiliates.anobii.com/editions/01b355c40ac2cdc3fa/amazon-it,https://www.amazon.it/Arsenico-tazze-t%C3%A8-Larguzia-Marple-ebook/dp/B08CX9FNY3/ref=sr_1_1?keywords=Arsenico+e+tazze+di+t%C3%A8&qid=1636509666&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B08CX9FNY3%2CB08CXGW9X9,Arsenico e tazze di tè: L'arguzia di Miss Marple,Agatha Christie,"
‏
:
‎

Abilit",541,2.6,"['23%', '6%', '17%', '21%', '33%']",24.0,6.0,"
ASIN
‏
:
‎

B08CX9FNY3
","
Editore
‏
:
‎

MONDADORI (25 agosto 2020)
"
12,12,https://www.anobii.com/books/assassinio-allo-specchio-il-terrore-viene-per-posta/0162c917ccb6008343,Agatha Christie,Assassinio allo specchio - Il terrore viene per posta,A000024501,[' Mystery & Thrillers '],1,72,4.0,286,"Publisher
CDE",About this Edition,https://affiliates.anobii.com/editions/0162c917ccb6008343/amazon-it,https://www.amazon.it/Collezione-Agatha-Christie-Assassinio-specchio/dp/B00KXRR1LQ/ref=sr_1_1?keywords=Assassinio+allo+specchio+-+Il+terrore+viene+per+posta&qid=1636509674&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B00KXRR1LQ,Collezione Agatha Christie: Assassinio allo specchio - Il terrore viene per posta,CLUB DEGLI EDITORI (a cura di),ella classific,791,4.0,"['0%', '0%', '0%', '100%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",1.0,1.0,"
ASIN
‏
:
‎

B00KXRR1LQ
","
Editore
‏
:
‎

CDE (1 gennaio 1994)
"
13,13,https://www.anobii.com/books/assassinio-sul-nilo/01a492448fe9ee5446,Agatha Christie,Assassinio sul Nilo,308,"[' Fiction & Literature ', ' Mystery & Thrillers ']",11,5,4.0,308,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/01a492448fe9ee5446/amazon-it,https://www.amazon.it/Assassinio-sul-Nilo-Agatha-Christie/dp/8804728167/ref=sr_1_1?keywords=Assassinio+sul+Nilo&qid=1636509681&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804728167%2C880473034X%2C880461837X%2C8804603062%2C8826160082%2C8804680423%2C8804727969%2C8804728965%2CB0915VD5KP%2C8804682884%2C8804616989%2CB099TSBYTQ%2C880468318X%2C8828203617%2C8851163758%2C8804732520&srpt=ABIS_BOOK,Assassinio sul Nilo,Agatha Christie,978-8804728160,312,4.6,"['73%', '20%', '5%', '1%', '1%']",171.0,16.0,"
Editore
‏
:
‎

Mondadori (13 ottobre 2020)
","
Lingua
‏
:
‎

Italiano
"
14,14,https://www.anobii.com/books/assassinio-sull-orient-express/01cdacfc8e6fa2b72b,Agatha Christie,Assassinio sull'Orient-Express,240,"[' Crime\xa0 ', ' Fiction & Literature ', ' Mystery & Thrillers ']",854,9666,4.21,240,"Publisher
RCS Quotidiani - Corriere della Sera","About this Edition
All Editions",https://affiliates.anobii.com/editions/01cdacfc8e6fa2b72b/amazon-it,https://www.amazon.it/Assassinio-sullOrient-Express-Agatha-Christie/dp/8804732539/ref=sr_1_1?keywords=Assassinio+sull%27Orient-Express&qid=1636509687&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804732539%2C8804603062%2CB08F2NPHL9%2C0008249679%2C0062073508%2CB00MK9EBPE%2C8861234216%2CB087YL2FJS%2CB0044T3UN2%2C8804728167%2C8804727969%2C8804733934%2CB01BY1UD5K%2C0008268878%2C1851499156%2C8853019379&srpt=ABIS_BOOK,Assassinio sull'Orient Express,Agatha Christie,978-8804732532,216,4.7,"['76%', '17%', '5%', '1%', '1%']",1550.0,331.0,"
Editore
‏
:
‎

Mondadori (20 ottobre 2020)
","
Lingua
‏
:
‎

Italiano
"
15,15,https://www.anobii.com/books/assassinio-sull-orient-express-carte-in-tavola/0174734c1856731597,Agatha Christie,Assassinio sull'Orient-Express - Carte in tavola,350,error,31,13,4.23,350,"Publisher
Euroclub",About this Edition,https://affiliates.anobii.com/editions/0174734c1856731597/amazon-it,https://www.amazon.it/Assassinio-sull-Oriente-Express-tavola/dp/B00J1LYYKG/ref=sr_1_1?keywords=Assassinio+sull%27Orient-Express+-+Carte+in+tavola&qid=1636509694&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B00J1LYYKG%2C8804703199%2C8804727969%2C8804603070%2C880473003X&srpt=ABIS_BOOK,Assassinio sull Oriente Express - Carte in tavola,error,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B00J1LYYKG
","




Posizione nella classifica Bestseller di Amazon:

n. 1,498,449 in Libri (Visualizza i Top 100 nella categoria Libri)






"
16,16,https://www.anobii.com/books/avversario-segreto/9788804401674/01f91dd597b752aaf7,Agatha Christie,Avversario segreto,9788804401674,[' Teens '],81,714,3.62,190,"Publisher
A. Mondadori","About this Edition
All Editions",https://affiliates.anobii.com/editions/01f91dd597b752aaf7/amazon-it,https://www.amazon.it/Avversario-segreto-Agatha-Christie/dp/8804728051/ref=sr_1_1?keywords=Avversario+segreto&qid=1636509701&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804728051%2CB07RD5W9MY%2C8804396563%2CB00P4AT1YC%2CB07PW93WV5%2CB07K4T8W7V%2C8845927865%2C8804679360%2CB08B386R1H%2C8804728965%2C8845933954%2C8804683252%2C8842821675%2C8804704098%2C8845930750%2C8804700106&srpt=ABIS_BOOK,Avversario segreto,Agatha Christie,978-8804728054,192,4.2,"['55%', '25%', '12%', '3%', '4%']",56.0,23.0,"
Editore
‏
:
‎

Mondadori (23 marzo 2020)
","
Lingua
‏
:
‎

Italiano
"
17,17,https://www.anobii.com/books/avversario-segreto-quinta-colonna/017d7eeca714201497,Agatha Christie,Avversario segreto - Quinta colonna,A000024588,"[' Fiction & Literature ', ' Mystery & Thrillers ']",66,25,3.72,339,"Publisher
CDE",About this Edition,https://affiliates.anobii.com/editions/017d7eeca714201497/amazon-it,https://www.amazon.it/SPIONAGGIO-MERLETTI-romanzi-Avversario-pericolo/dp/B07MCVQHTR/ref=sr_1_1?keywords=Avversario+segreto+-+Quinta+colonna&qid=1636509708&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B07MCVQHTR%2CB00G9AHORC&srpt=ABIS_BOOK,SPIONAGGIO E VECCHI MERLETTI Tre romanzi Avversario segreto Quinta colonna Il mondo e in pericolo,Agatha Christie,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B07MCVQHTR
","
Editore
‏
:
‎

Generico (1 gennaio 1976)
"
18,18,https://www.anobii.com/books/beyond-fiction-and-within-introduction-and-exercises/9788879941181/02e4bdfb992a0336a7,Agatha Christie,Beyond fiction (and within). Introduction and exercises,9788879941181,error,0,0,0.0,96,"Publisher
Herbita",About this Edition,https://affiliates.anobii.com/editions/02e4bdfb992a0336a7/amazon-it,https://www.amazon.it/Beyond-fiction-within-Introduction-exercises/dp/8879941186/ref=sr_1_1?keywords=Beyond+fiction+%28and+within%29.+Introduction+and+exercises&qid=1636509715&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8879941186&srpt=ABIS_BOOK,Beyond fiction (and within). Introduction and exercises,Thomas S. Eliot,978-8879941181,96,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
Editore
‏
:
‎

Herbita (1 gennaio 2003)
","
Lingua
‏
:
‎

Italiano
"
19,19,https://www.anobii.com/books/black-coffee-adattato-a-romanzo-da-charles-osborne/01a3f37fb2ddf8b4f8,Agatha Christie,Black Coffee - adattato a romanzo da Charles Osborne,A000018644,"[' Crime\xa0 ', ' Fiction & Literature ', ' Mystery & Thrillers ']",8,63,3.52,204,"Publisher
Arnoldo Mondadori Editore","About this Edition
All Editions",https://affiliates.anobii.com/editions/01a3f37fb2ddf8b4f8/amazon-it,https://www.amazon.it/Taylors-Harrogate-After-Dark-Coffee/dp/B005IDAI42/ref=sr_1_fkmr0_1?keywords=Black+Coffee+-+adattato+a+romanzo+da+Charles+Osborne&qid=1636509722&qsid=260-7043333-5119002&s=books&sr=1-1-fkmr0&sres=B005IDAI42%2CB00VN9UHJQ%2CB09B64VYJM%2CB09B7JFNN3%2C8853004495%2C8853017163%2CB08N3B3JDQ%2C8894833011&srpt=ABIS_BOOK,Taylors of Harrogate - After Dark Coffee - 227g,error,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,error,error
20,20,https://www.anobii.com/books/c-era-una-volta/9788868681159/02b4027a696dbb5029,Agatha Christie,C'era una volta,9788868681159,error,0,0,0.0,303,"Publisher
Curcio",About this Edition,https://affiliates.anobii.com/editions/02b4027a696dbb5029/amazon-it,https://www.amazon.it/mio-amico-Massimo-Lello-Arena/dp/8817154024/ref=sr_1_1?keywords=C%27era+una+volta&qid=1636509729&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8817154024%2C8856679744%2C8893258900%2C8834606523%2C883207060X%2C8830456349%2CB092H54SGZ%2C8804724501%2C8878747203%2C887874638X%2C8809898648%2CB09FS2YGRT%2C8852238700%2C8804706910%2C8806175076%2C8862616880,C'era una volta. La fiaba un po' storta di un incontro incredibile,Lello Arena,978-8817154024,224,4.7,"['76%', '15%', '9%', '0%', '0%', '0%', '0%', '0%', '0%']",15.0,3.0,"
Editore
‏
:
‎

Rizzoli (12 ottobre 2021)
","
Lingua
‏
:
‎

Italiano
"
21,21,https://www.anobii.com/books/c-e-un-cadavere-in-biblioteca/9788804716846/029a8fe7507b6b87cc,Agatha Christie,C'è un cadavere in biblioteca,9788804716846,error,0,0,0.0,224,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/029a8fe7507b6b87cc/amazon-it,https://www.amazon.it/C%C3%A8-cadavere-biblioteca-Agatha-Christie/dp/8804672439/ref=sr_1_1?keywords=C%27%C3%A8+un+cadavere+in+biblioteca&qid=1636509736&qsid=260-7043333-5119002&s=books&sr=1-1&sres=8804672439%2CB00D4QHAZU%2CB07CLDHVDF%2CB06VTNMXQK%2CB00HFWVGMW%2CB01IW0J6U4%2C8400257685%2CB00TM0I402%2C8804603070%2C8804732520%2C8804728167%2C8804727969%2C8804679360%2C880468318X%2C8804680423%2C8804127864&srpt=ABIS_BOOK,C'è un cadavere in biblioteca,Agatha Christie,978-8804672432,177,4.4,"['66%', '18%', '12%', '3%', '1%']",280.0,66.0,"
Editore
‏
:
‎

Mondadori (16 agosto 2016)
","
Lingua
‏
:
‎

Italiano
"
22,22,https://www.anobii.com/books/c-e-un-cadavere-in-biblioteca-giochi-di-prestigio/0149d25fe419630a94,Agatha Christie,C'è un cadavere in biblioteca - Giochi di prestigio,A000024570,[' Mystery & Thrillers '],7,110,3.94,303,"Publisher
Edizione CDE",About this Edition,https://affiliates.anobii.com/editions/0149d25fe419630a94/amazon-it,https://www.amazon.it/C%C3%A8-cadavere-biblioteca-Giochi-prestigio/dp/B00TM0I402/ref=sr_1_1?keywords=C%27%C3%A8+un+cadavere+in+biblioteca+-+Giochi+di+prestigio&qid=1636509743&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B00TM0I402%2CB008R8TP76%2CB00T82S0VW%2C8804603070%2CB00DWZEQIM&srpt=ABIS_BOOK,C’è un cadavere in biblioteca - Giochi di prestigio.,error,error,error,error,"['0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%', '0%']",error,error,"
ASIN
‏
:
‎

B00TM0I402
","




Posizione nella classifica Bestseller di Amazon:

n. 1,340,884 in Libri (Visualizza i Top 100 nella categoria Libri)






"
23,23,https://www.anobii.com/books/caccia-al-fantasma-l-uomo-dagli-occhi-malinconici-la-casa-stregata-il-razzo-l-amica-dei-gatti-il-diamante-perduto/011dbd67a8e705c496,Agatha Christie,Caccia al fantasma - L'uomo dagli occhi malinconici - La casa stregata - Il razzo - L'amica dei gatti - Il diamante perduto,254,[' Mystery & Thrillers '],1,0,0.0,254,"Publisher
Mondadori",About this Edition,https://affiliates.anobii.com/editions/011dbd67a8e705c496/amazon-it,https://www.amazon.it/Grandi-Giochi-Fantasma-Evolution-GG01302/dp/B071XCQY9R/ref=sr_1_1?keywords=Caccia+al+fantasma+-+L%27uomo+dagli+occhi+malinconici+-+La+casa+stregata+-+Il+razzo+-+L%27amica+dei+gatti+-+Il+diamante+perduto&qid=1636509750&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B071XCQY9R,"Grandi Giochi - Occhio al Fantasma 3D Evolution, GG01302",error,error,error,4.4,"['66%', '18%', '10%', '3%', '4%']",1438.0,673.0,error,error
24,24,https://www.anobii.com/books/caffe-nero/016c6fa4841570467d,Agatha Christie,Caffè nero,211,[' Mystery & Thrillers '],9,1,4.0,211,"Publisher
Hachette (I grandi gialli di Agatha Christie)",About this Edition,https://affiliates.anobii.com/editions/016c6fa4841570467d/amazon-it,https://www.amazon.it/caff%C3%A8-nero-Poirot-Agatha-Christie-ebook/dp/B07HNWGG6K/ref=sr_1_1?keywords=Caff%C3%A8+nero&qid=1636509757&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B07HNWGG6K%2C8854521701%2C880464575X%2C8895649672%2C8811607698%2C8854500127%2C8857500829%2CB09JDG552V%2C885753135X%2C8857510581%2C8893330318%2C1689487380%2C8833468488%2CB08JVR5MRV%2C8898930674%2CB08DSX39WD&srpt=COFFEE,Un caffè nero per Poirot,Agatha Christie,"
‏
:
‎

Abilit",219,3.9,"['45%', '15%', '26%', '14%', '0%', '0%', '0%']",8.0,2.0,"
ASIN
‏
:
‎

B07HNWGG6K
","
Editore
‏
:
‎

MONDADORI (16 ottobre 2018)
"
25,25,https://www.anobii.com/books/caffe-nero-i-topi-la-paziente-un-pomeriggio-al-mare/0123f0a3a7b99cfc98,Agatha Christie,Caffè nero - I topi - La paziente - Un pomeriggio al mare,A000032557,[' Mystery & Thrillers '],2,39,3.42,207,"Publisher
Arnoldo Mondadori Editore",About this Edition,https://affiliates.anobii.com/editions/0123f0a3a7b99cfc98/amazon-it,https://www.amazon.it/Adesivo-Uccelli-Adesivi-Decorativi-Sinistra/dp/B07J5GG9CJ/ref=sr_1_1?keywords=caff%C3%A8+nero+-+i+tipi+-+la+paziente+-+un+pomeriggio+al+mare&qid=1636509764&qsid=260-7043333-5119002&s=books&sr=1-1&sres=B07J5GG9CJ,"Albero Adesivo da Parete, Alberi e Uccelli 3D Adesivi Murali Arts Wall Sticker Decorativi per TV Par (M-250 * 130cm, Argento Sinistra)",error,error,error,4.2,"['62%', '17%', '7%', '3%', '10%']",916.0,371.0,error,error
