,index,Genere,Title_old,Title,ISBN,Author_old,Author,Price,N_pag,Pub_Date,Num_Reviews,Num_Reviews_ol,Distr_Rat_Cont,Distr_Rat_Design,Overall_Rating,Overall_Rating_ol,Yes_link,Tot_Reviews,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver,Naver_Link,Reviews_Sum,Shelves_Category_old,Shelves_Category,Shelves_Media_old,Shelves_Media,Shelves_Tags
10,125,Children_Lit,78층 나무 집,78th floor wooden house,9788952784933,앤디 그리피스,Andy Griffith,"10,800원",384,2017,52,237,"['69%', '27%', '4%', '0%', '0%']","['71%', '25%', '4%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/35244690,289,10.8,2018.11.05,8.0,10,http://book.naver.com/bookdb/book_detail.naver?bid=11555901,299,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 놀이 > 1-2학년 만들기/색칠하기/종이접기', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 놀이 > 3-4학년 만들기/색칠하기/종이접기', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
11,115,Children_Lit,91층 나무 집,91st floor wooden house,9788952786470,앤디 그리피스,Andy Griffith,"10,800원",376,2018,85,224,"['76%', '22%', '1%', '0%', '0%']","['73%', '25%', '2%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/58137197,309,10.8,2018.03.01,9.89,43,http://book.naver.com/bookdb/book_detail.naver?bid=13240127,352,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 놀이 > 1-2학년 만들기/색칠하기/종이접기', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 놀이 > 3-4학년 만들기/색칠하기/종이접기', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#베스트셀러후속작"
12,49,Children_Lit,담을 넘은 아이,A child over the wall,9788949121857,김정민,Kim Jungmin,"9,000원",164,2019,36,33,"['94%', '6%', '0%', '0%', '0%']","['94%', '6%', '0%', '0%', '0%']",9.8,9.6,http://www.yes24.com/Product/Goods/77194894,69,9.0,2019.07.30,10.0,53,http://book.naver.com/bookdb/book_detail.naver?bid=15298147,122,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#황금도깨비상"
13,18,Children_Lit,서찰을 전하는 아이,A child who conveys a,9788971846643,한윤섭,Han Yoonseop,"9,900원",176,2011,42,59,"['79%', '19%', '2%', '0%', '0%']","['81%', '17%', '2%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/5883832,101,9.9,2011.10.31,8.92,69,http://book.naver.com/bookdb/book_detail.naver?bid=6764536,170,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 학습 > 5-6학년 역사/지리', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 초등학습 > 한국사/세계사/지리']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2012년 > 어린이 고학년 추천도서
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2012년 1분기
  국내도서 > 미디어 추천 > 한겨레",,error
14,85,Children_Lit,말들이 사는 나라,A country where words live,9788962471656,윤여림,Yoon Yeo Rim,"12,420원",92,2019,31,13,"['97%', '3%', '0%', '0%', '0%']","['97%', '3%', '0%', '0%', '0%']",10.0,9.2,http://www.yes24.com/Product/Goods/69770881,44,12.42,2019.02.25,10.0,40,http://book.naver.com/bookdb/book_detail.naver?bid=14572430,84,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 한겨레",,error
15,64,Children_Lit,멋진 여우 씨,A wonderful fox,9788984142763,로알드 달,Roald Dahl,"8,100원",128,2017,29,50,"['90%', '10%', '0%', '0%', '0%']","['86%', '14%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/37100329,79,8.1,2017.03.15,9.63,37,http://book.naver.com/bookdb/book_detail.naver?bid=11771296,116,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#연대 #우화 #사회비판"
16,113,Children_Lit,또 잘못 뽑은 반장,Another inclusion,9788934993315,error,error,"10,350원",200,2014,36,10,"['83%', '14%', '3%', '0%', '0%']","['75%', '22%', '0%', '0%', '3%']",9.5,9.8,http://www.yes24.com/Product/Goods/14169764,46,10.35,2014.08.27,9.63,31,http://book.naver.com/bookdb/book_detail.naver?bid=8008993,77,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#민주주의"
17,79,Children_Lit,"아드님, 진지 드세요","Ard, please.",9788928302802,강민경,Kang Min-kyung,"7,650원",68,2011,39,57,"['74%', '23%', '3%', '0%', '0%']","['69%', '31%', '0%', '0%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/5068861,96,7.65,2011.04.25,9.67,26,http://book.naver.com/bookdb/book_detail.naver?bid=6626948,122,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 3학년1학기 > 국어활동1-가', '  국내도서 > 어린이 > 교과서 수록도서']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2012년 > 어린이 저학년 추천도서",,error
18,83,Children_Lit,글자동물원,Automatic water source,9788954637374,이안,Ian,"10,350원",108,2015,26,31,"['65%', '23%', '8%', '4%', '0%']","['58%', '31%', '8%', '4%', '0%']",8.9,9.4,http://www.yes24.com/Product/Goods/19953053,57,10.35,2015.08.18,0.0,15,http://book.naver.com/bookdb/book_detail.naver?bid=9471688,72,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 동요/동시', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 동요/동시', '  국내도서 > 어린이 > 어린이 문학 > 동요/동시', '  국내도서 > 어린이 > 교과서수록도서 > 1학년1학기 > 국어-가', '  국내도서 > 어린이 > 교과서수록도서 > 1학년1학기 > 국어-나', '  국내도서 > 어린이 > 교과서 수록도서']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등학교 도서관용
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등 저학년용
  국내도서 > 세종도서_(구)문화체육관광부 우수도서 > 2016년 문학나눔
  국내도서 > 미디어 추천 > 동아일보",,error
19,51,Children_Lit,수상한 운동장,Awarded playground,9788963193755,박현숙,Park Hyunsuk,"10,350원",204,2020,51,27,"['90%', '8%', '2%', '0%', '0%']","['92%', '6%', '2%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/92337609,78,10.35,2020.09.30,0.0,12,http://book.naver.com/bookdb/book_detail.naver?bid=16685855,90,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#성장물 #초등미스터리"
20,61,Children_Lit,수상한 화장실,Awarded toilet,9788963193502,박현숙,Park Hyunsuk,"10,350원",204,2020,49,50,"['88%', '10%', '2%', '0%', '0%']","['86%', '12%', '2%', '0%', '0%']",9.7,9.6,http://www.yes24.com/Product/Goods/89496128,99,10.35,2020.03.27,9.6,19,http://book.naver.com/bookdb/book_detail.naver?bid=16292377,118,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#2020문학나눔어린이선정도서"
21,88,Children_Lit,나쁜 어린이 표,Bad children table,9791195718832,황선미,Hwang Sunmi,"8,820원",88,2017,50,34,"['86%', '10%', '4%', '0%', '0%']","['82%', '10%', '8%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/35909263,84,8.82,2017.02.10,9.5,43,http://book.naver.com/bookdb/book_detail.naver?bid=11637443,127,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 조선일보",,error
22,193,Children_Lit,밤티마을 큰돌이네 집,Bag Town Village,9788957980019,이금이,Lee Geum,"11,210원",144,2004,18,18,"['72%', '17%', '11%', '0%', '0%']","['78%', '17%', '6%', '0%', '0%']",9.3,9.6,http://www.yes24.com/Product/Goods/425142,36,10.62,2004.01.20,8.96,46,http://book.naver.com/bookdb/book_detail.naver?bid=167611,82,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,error
23,33,Children_Lit,아름다운 아이,Beautiful child,9788994077468,R. J. 팔라시오,RJ Palacio,"11,700원",480,2012,81,78,"['75%', '22%', '2%', '0%', '0%']","['69%', '27%', '4%', '0%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/7526429,159,11.7,2012.10.10,9.35,120,http://book.naver.com/bookdb/book_detail.naver?bid=7007693,279,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2013년 > 어린이 고학년 추천도서
  국내도서 > YES24 올해의 책 > 2013년 올해의 책 후보도서",,error
24,7,Children_Lit,불량한 자전거 여행,Big bike trip,9788936442507,김남중,Kim Nam Jung,"9,720원",230,2009,78,78,"['86%', '13%', '1%', '0%', '0%']","['73%', '26%', '1%', '0%', '0%']",9.5,9.8,http://www.yes24.com/Product/Goods/3486146,156,9.72,2009.07.28,8.57,78,http://book.naver.com/bookdb/book_detail.naver?bid=6050510,234,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 한겨레
  국내도서 > 행복한아침독서/책둥이 추천 > 2010 어린이 고학년 추천도서",,error
25,70,Children_Lit,블랙아웃,Blackout,9788984318304,마영신,Ma Youngshin,"9,000원",244,2014,24,19,"['71%', '29%', '0%', '0%', '0%']","['71%', '25%', '4%', '0%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/13947342,43,9.0,2014.07.21,9.0,48,http://book.naver.com/bookdb/book_detail.naver?bid=7901911,91,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2015년 > 초등학교 도서관용
  국내도서 > 행복한아침독서/책둥이 추천 > 2015년 > 초등 고학년용
  국내도서 > 유아/어린이 추천도서 > 행복한아침독서 추천 > 2015 초등 고학년용 추천도서",,error
26,5,Children_Lit,푸른 사자 와니니 2,Blue Lion Wanii 2,9788936443054,이현,Lee Hyun,"9,720원",224,2019,67,87,"['84%', '9%', '7%', '0%', '0%']","['82%', '13%', '4%', '0%', '0%']",9.6,9.4,http://www.yes24.com/Product/Goods/77283025,154,9.7,2019.08.23,10.0,24,http://book.naver.com/bookdb/book_detail.naver?bid=15344116,178,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 한겨레",,error
27,0,Children_Lit,푸른 사자 와니니,Blue Lion Winniei,9788936442804,이현,Lee Hyun,"9,720원",216,2015,46,146,"['72%', '24%', '4%', '0%', '0%']","['61%', '37%', '2%', '0%', '0%']",9.3,9.6,http://www.yes24.com/Product/Goods/18841857,192,9.72,2019.01.29,8.83,95,http://book.naver.com/bookdb/book_detail.naver?bid=9220379,287,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 동아일보
  국내도서 > 미디어 추천 > 한겨레",,error
28,71,Children_Lit,"봉주르, 뚜르","Bongju, Tour",9788954612883,한윤섭,Han Yoonseop,"10,350원",216,2010,45,29,"['82%', '16%', '2%', '0%', '0%']","['69%', '27%', '4%', '0%', '0%']",9.4,10,http://www.yes24.com/Product/Goods/4263762,74,10.35,2010.10.08,8.89,101,http://book.naver.com/bookdb/book_detail.naver?bid=6379168,175,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 한국간행물윤리위원회 이달의 책 > 2010년 > 2010년 11월
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2011년 1분기",,error
29,38,Children_Lit,책 먹는 여우,Book eating fox,9788934908067,프란치스카 비어만,Franziska Bierman,"9,900원",60,2001,164,139,"['77%', '20%', '3%', '0%', '0%']","['77%', '17%', '4%', '1%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/232775,303,9.9,2001.10.15,8.8,552,http://book.naver.com/bookdb/book_detail.naver?bid=172701,855,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 1-2학년 > 1-2학년 학습 > 1-2학년 학습일반', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#우화 #초등고전 #책덕후 #풍자"
30,23,Children_Lit,책과 노니는 집,Books and Nonites,9788954607346,이영서,Lee Youngseo,"9,450원",192,2009,148,143,"['82%', '15%', '3%', '1%', '0%']","['78%', '18%', '4%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/3248548,291,9.45,2017.03.22,9.45,270,http://book.naver.com/bookdb/book_detail.naver?bid=5333310,561,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 5학년1학기 > 국어5-나', '  국내도서 > 어린이 > 교과서수록도서 > 5학년2학기 > 국어5-가', '  국내도서 > 어린이 > 창작동화 수상작', '  국내도서 > 어린이 > 교과서 수록도서']",,"상내역 및 미디어 추천 분류
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2009년 2분기
  국내도서 > 행복한아침독서/책둥이 추천 > 2009 어린이 고학년 추천도서
  국내도서 > YES24 올해의 책 > 2009년 올해의 책 후보도서",,error
31,22,Children_Lit,강남 사장님,Boss of Gangnam,9788949121925,이지음,Lee Jieum,"9,900원",148,2020,57,71,"['88%', '12%', '0%', '0%', '0%']","['89%', '11%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/91227900,128,9.9,2020.07.17,9.0,39,http://book.naver.com/bookdb/book_detail.naver?bid=16418054,167,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#황금도깨비상 #고양이 #성장물 #유튜버 #무료배송쿠폰도서"
32,187,Children_Lit,캡슐 마녀의 수리수리 약국,Capsule Witch's Repair Repair Pharmacy,9788949161495,김소민,Kim Somin,"8,100원",88,2012,58,17,"['74%', '24%', '2%', '0%', '0%']","['60%', '40%', '0%', '0%', '0%']",9.3,9.2,http://www.yes24.com/Product/Goods/6373637,75,8.1,2012.02.25,9.22,56,http://book.naver.com/bookdb/book_detail.naver?bid=6833270,131,"['  국내도서 > 어린이 > 예비 초등학생', '  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,"상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2013년 > 어린이 저학년 추천도서
  국내도서 > YES24 올해의 책 > 2012년 올해의 책 후보도서",,error
33,176,Children_Lit,까막눈 삼디기,Cart,9788901068602,원유순,Won Yoo Soon,"8,550원",95,2003,27,19,"['70%', '22%', '7%', '0%', '0%']","['70%', '22%', '7%', '0%', '0%']",9.2,9.6,http://www.yes24.com/Product/Goods/136724,46,8.55,2007.07.09,9.0,53,http://book.naver.com/bookdb/book_detail.naver?bid=182521,99,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",,error,,"그 분류
#탑골공원책벌레"
