,Unnamed: 0,index,Genere,Title,ISBN,Author,Price,N_pag,Pub_Date,Num_Reviews,Num_Reviews_ol,Distr_Rat_Cont,Distr_Rat_Design,Overall_Rating,Overall_Rating_ol,Yes_link,Tot_Reviews,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver,Naver_Link,Reviews_Sum,Shelves_Category,Shelves_Media,Shelves_Tags
10,10,10,Children_Lit,5번 레인,9788954674638,은소홀,"11,250원",240,2020,41,69,"['78%', '17%', '2%', '0%', '2%']","['78%', '15%', '5%', '0%', '2%']",9.4,9.8,http://www.yes24.com/Product/Goods/92578889,110,11.2,2020.09.14,9.33,51,http://book.naver.com/bookdb/book_detail.naver?bid=16687536,161,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 조선일보
  국내도서 > 미디어 추천 > 한겨레
  국내도서 > 미디어 추천 > 경향신문",error
11,11,11,Children_Lit,이상한 과자 가게 전천당 2,9791164060498,히로시마 레이코,"10,800원",155,2019,59,140,"['75%', '24%', '2%', '0%', '0%']","['78%', '19%', '3%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/75217436,199,10.8,2019.07.05,8.5,24,http://book.naver.com/bookdb/book_detail.naver?bid=15070327,223,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,error
12,12,12,Children_Lit,한밤중 달빛 식당,9788949161969,이분희,"8,550원",88,2018,125,214,"['86%', '10%', '4%', '0%', '0%']","['83%', '11%', '6%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/59272030,339,8.55,2018.03.15,9.56,81,http://book.naver.com/bookdb/book_detail.naver?bid=13424876,420,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2019년 > 어린이용(1-2학년)
  국내도서 > 미디어 추천 > 한겨레
  국내도서 > YES24 올해의 책 > 2018년 올해의 책 후보도서",error
13,13,13,Children_Lit,걱정 세탁소,9788928318049,홍민정,"8,100원",64,2020,34,41,"['88%', '6%', '3%', '3%', '0%']","['88%', '9%', '0%', '3%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/88372513,75,8.1,2020.02.10,10.0,22,http://book.naver.com/bookdb/book_detail.naver?bid=16262861,97,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 미디어 추천 > 동아일보",error
14,14,14,Children_Lit,초정리 편지,9788936461447,배유안,"9,720원",216,2013,19,49,"['74%', '26%', '0%', '0%', '0%']","['79%', '16%', '5%', '0%', '0%']",9.4,9.8,http://www.yes24.com/Product/Goods/8451380,68,9.72,2013.02.15,9.75,23,http://book.naver.com/bookdb/book_detail.naver?bid=7144008,91,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 4학년2학기 > 국어4-나']",error,error
15,15,15,Children_Lit,잘못 뽑은 반장,9788934933700,이은재,"10,350원",220,2009,42,70,"['79%', '17%', '5%', '0%', '0%']","['83%', '10%', '7%', '0%', '0%']",9.5,9.2,http://www.yes24.com/Product/Goods/3395331,112,10.35,2009.05.11,9.43,63,http://book.naver.com/bookdb/book_detail.naver?bid=6018863,175,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 4학년1학기 > 국어활동3-나', '  국내도서 > 어린이 > 교과서 수록도서']","상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2010 어린이 중학년 추천도서",error
16,16,16,Children_Lit,열두 살에 부자가 된 키라,9788950966980,보도 섀퍼,"11,700원",256,2014,151,131,"['84%', '15%', '1%', '0%', '0%']","['83%', '15%', '2%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/14972137,282,11.7,2014.10.23,9.15,375,http://book.naver.com/bookdb/book_detail.naver?bid=8316630,657,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 학습 > 3-4학년 경제', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 학습 > 5-6학년 경제', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 초등학습 > 경제']",error,"그 분류
#탑골공원책벌레"
17,17,17,Children_Lit,이상한 과자 가게 전천당 8,9791164062287,히로시마 레이코,"10,800원",192,2020,65,113,"['94%', '6%', '0%', '0%', '0%']","['94%', '6%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/92153169,178,10.8,2020.09.07,0.0,24,http://book.naver.com/bookdb/book_detail.naver?bid=16629149,202,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 추리/탐정/공포', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 추리/탐정/공포', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 추리/탐정/공포']",error,error
18,18,18,Children_Lit,서찰을 전하는 아이,9788971846643,한윤섭,"9,900원",176,2011,42,59,"['79%', '19%', '2%', '0%', '0%']","['81%', '17%', '2%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/5883832,101,9.9,2011.10.31,8.92,69,http://book.naver.com/bookdb/book_detail.naver?bid=6764536,170,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 학습 > 5-6학년 역사/지리', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 초등학습 > 한국사/세계사/지리']","상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2012년 > 어린이 고학년 추천도서
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2012년 1분기
  국내도서 > 미디어 추천 > 한겨레",error
19,19,19,Children_Lit,이상한 과자 가게 전천당 3,9791164060931,히로시마 레이코,"10,800원",155,2019,60,119,"['87%', '10%', '3%', '0%', '0%']","['83%', '13%', '3%', '0%', '0%']",9.6,9.8,http://www.yes24.com/Product/Goods/81696651,179,10.8,2019.11.11,8.67,32,http://book.naver.com/bookdb/book_detail.naver?bid=15662204,211,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,error
20,20,20,Children_Lit,갈매기에게 나는 법을 가르쳐준 고양이,9788955617672,error,"8,820원",163,2015,54,173,"['83%', '15%', '2%', '0%', '0%']","['76%', '20%', '2%', '2%', '0%']",9.5,9.8,http://www.yes24.com/Product/Goods/17739882,227,8.8,2015.05.01,10.0,44,http://book.naver.com/bookdb/book_detail.naver?bid=9011445,271,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 5학년1학기 > 국어5-나', '  국내도서 > 어린이 > 교과서 수록도서']",error,"그 분류
#라틴문학 #우화 #관계"
21,21,21,Children_Lit,이상한 과자 가게 전천당 4,9791164060948,히로시마 레이코,"10,800원",168,2019,43,104,"['79%', '14%', '7%', '0%', '0%']","['81%', '14%', '5%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/81696832,147,10.8,2019.11.11,8.4,13,http://book.naver.com/bookdb/book_detail.naver?bid=15662205,160,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,error
22,22,22,Children_Lit,강남 사장님,9788949121925,이지음,"9,900원",148,2020,57,71,"['88%', '12%', '0%', '0%', '0%']","['89%', '11%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/91227900,128,9.9,2020.07.17,9.0,39,http://book.naver.com/bookdb/book_detail.naver?bid=16418054,167,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,"그 분류
#황금도깨비상 #고양이 #성장물 #유튜버 #무료배송쿠폰도서"
23,23,24,Children_Lit,책과 노니는 집,9788954607346,이영서,"9,450원",192,2009,148,143,"['82%', '15%', '3%', '1%', '0%']","['78%', '18%', '4%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/3248548,291,9.45,2017.03.22,9.45,270,http://book.naver.com/bookdb/book_detail.naver?bid=5333310,561,"['  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 5학년1학기 > 국어5-나', '  국내도서 > 어린이 > 교과서수록도서 > 5학년2학기 > 국어5-가', '  국내도서 > 어린이 > 창작동화 수상작', '  국내도서 > 어린이 > 교과서 수록도서']","상내역 및 미디어 추천 분류
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2009년 2분기
  국내도서 > 행복한아침독서/책둥이 추천 > 2009 어린이 고학년 추천도서
  국내도서 > YES24 올해의 책 > 2009년 올해의 책 후보도서",error
24,24,25,Children_Lit,이상한 과자 가게 전천당 7,9791164062270,히로시마 레이코,"10,800원",164,2020,65,116,"['95%', '5%', '0%', '0%', '0%']","['94%', '6%', '0%', '0%', '0%']",9.9,9.8,http://www.yes24.com/Product/Goods/90864629,181,10.8,2020.07.13,10.0,30,http://book.naver.com/bookdb/book_detail.naver?bid=16393802,211,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 추리/탐정/공포', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 추리/탐정/공포', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 추리/탐정/공포']",error,"그 분류
#초등미스터리 #마법의물건"
25,25,26,Children_Lit,"소리 질러, 운동장",9788936442798,error,"9,720원",156,2015,18,27,"['83%', '17%', '0%', '0%', '0%']","['83%', '17%', '0%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/17838722,45,9.72,2015.05.10,9.17,32,http://book.naver.com/bookdb/book_detail.naver?bid=9039503,77,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등학교 도서관용
  국내도서 > 행복한아침독서/책둥이 추천 > 2016년 > 초등 중학년용
  국내도서 > 청소년 추천도서 > 한국출판문화산업진흥원 청소년 추천도서 > 2015년 8월",error
26,26,27,Children_Lit,샬롯의 거미줄,9788952787590,엘윈 브룩스 화이트,"9,900원",242,2000,141,127,"['78%', '18%', '4%', '0%', '0%']","['67%', '26%', '6%', '0%', '0%']",9.3,9.8,http://www.yes24.com/Product/Goods/176008,268,9.9,2018.10.20,8.0,29,http://book.naver.com/bookdb/book_detail.naver?bid=14107933,297,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,"그 분류
#탑골공원책벌레 #KBS달빛프린스선정도서 #초등고전 #우정"
27,27,28,Children_Lit,이상한 과자 가게 전천당 5,9791164062065,히로시마 레이코,"10,800원",156,2020,62,84,"['87%', '13%', '0%', '0%', '0%']","['89%', '11%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/89377661,146,10.8,2020.03.20,9.5,28,http://book.naver.com/bookdb/book_detail.naver?bid=16280171,174,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 추리/탐정/공포', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 추리/탐정/공포', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 추리/탐정/공포', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 추리/탐정/공포']",error,error
28,28,29,Children_Lit,프린들 주세요,9788971968345,앤드루 클레먼츠,"8,550원",154,2001,43,78,"['84%', '14%', '2%', '0%', '0%']","['65%', '28%', '7%', '0%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/241709,121,8.55,2001.12.05,9.09,122,http://book.naver.com/bookdb/book_detail.naver?bid=176040,243,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,"그 분류
#초등고전 #말장난 #상상력"
29,29,30,Children_Lit,화요일의 두꺼비,9788958287483,error,"8,820원",104,2014,24,126,"['79%', '17%', '4%', '0%', '0%']","['71%', '25%', '4%', '0%', '0%']",9.5,9.6,http://www.yes24.com/Product/Goods/12767325,150,8.82,2014.04.15,8.0,29,http://book.naver.com/bookdb/book_detail.naver?bid=7528272,179,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 교과서수록도서 > 3학년1학기 > 국어활동1-가', '  국내도서 > 어린이 > 교과서 수록도서']",error,"그 분류
#판타지 #상상력"
30,30,31,Children_Lit,이상한 과자 가게 전천당 6,9791164062072,히로시마 레이코,"10,800원",164,2020,51,84,"['86%', '14%', '0%', '0%', '0%']","['92%', '8%', '0%', '0%', '0%']",9.8,9.8,http://www.yes24.com/Product/Goods/89377679,135,10.8,2020.03.20,8.75,18,http://book.naver.com/bookdb/book_detail.naver?bid=16280179,153,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 추리/탐정/공포', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 추리/탐정/공포', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 추리/탐정/공포', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 추리/탐정/공포']",error,error
31,31,32,Children_Lit,마법의 설탕 두 조각,9788935652792,미하엘 엔데,"8,100원",92,2001,126,126,"['59%', '32%', '10%', '0%', '0%']","['50%', '40%', '10%', '1%', '0%']",8.9,9.6,http://www.yes24.com/Product/Goods/201210,252,8.1,2005.12.20,8.84,342,http://book.naver.com/bookdb/book_detail.naver?bid=172781,594,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']",error,"그 분류
#생활동화"
32,32,33,Children_Lit,악플 전쟁,9788997798131,이규희,"9,000원",174,2013,46,26,"['67%', '26%', '7%', '0%', '0%']","['61%', '33%', '7%', '2%', '0%']",9.1,9.2,http://www.yes24.com/Product/Goods/9406389,72,9.0,2013.08.26,9.11,35,http://book.naver.com/bookdb/book_detail.naver?bid=7285186,107,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 기관 추천 도서 > 한국문화예술위선정 우수문학 > 2013년 하반기",error
33,33,34,Children_Lit,아름다운 아이,9788994077468,R. J. 팔라시오,"11,700원",480,2012,81,78,"['75%', '22%', '2%', '0%', '0%']","['69%', '27%', '4%', '0%', '0%']",9.4,9.6,http://www.yes24.com/Product/Goods/7526429,159,11.7,2012.10.10,9.35,120,http://book.naver.com/bookdb/book_detail.naver?bid=7007693,279,"['  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 5-6학년 > 5-6학년 그림/동화책 > 5-6학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > 행복한아침독서 추천 > 2013년 > 어린이 고학년 추천도서
  국내도서 > YES24 올해의 책 > 2013년 올해의 책 후보도서",error
34,34,35,Children_Lit,꽝 없는 뽑기 기계,9788949162027,곽유진,"9,000원",72,2020,53,103,"['79%', '17%', '4%', '0%', '0%']","['83%', '13%', '4%', '0%', '0%']",9.6,9.6,http://www.yes24.com/Product/Goods/89326029,156,9.0,2020.03.01,10.0,27,http://book.naver.com/bookdb/book_detail.naver?bid=16275307,183,"['  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화', '  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화', '  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화']","상내역 및 미디어 추천 분류
  국내도서 > YES24 올해의 책 > 2020년 올해의 책 후보도서",error
