,index,Unnamed: 0,Genere,Title,Author,ISBN,Num_Pages_AZ,Pub_Date_AZ,Lingua_AZ,Avg_Rat_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,Link_AZ,Num_Pag_AN,N_Votes_AN,N_Reviews_AN,Avg_Rat_AN,Pub_Date_AN,Genere_Suggerito_AN,Lingua_AN,Link_AN
10,10,10,Children_Lit,Ascolta il mio cuore. Oscar Junior,"Bianca Pitzorno (Autore),",978-8804599128,420,"
Editore
‏
:
‎

Mondadori; 5° edizione (6 aprile 2010)
","
Lingua
‏
:
‎

Italiano
",4.6,"['76%', '15%', '6%', '1%', '2%']",254.0,70.0,https://www.amazon.it/Ascolta-mio-cuore-Bianca-Pitzorno/dp/880459912X/ref=sr_1_119?dchild=1&m=A1IZZI10GE0KEI&qid=1633023701&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-119,407,2541,356,4.36,"Editore
Mondadori (Oscar junior)","[' Adolescenti ', ' Bambini ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8804599128/books
11,11,11,Children_Lit,Bambini di cristallo,"Kristina Ohlsson (Autore),",978-8867159871,169,"
Editore
‏
:
‎

Salani (10 settembre 2015)
","
Lingua
‏
:
‎

Italiano
",4.5,"['64%', '26%', '7%', '1%', '2%']",124.0,29.0,https://www.amazon.it/Bambini-cristallo-Kristina-Ohlsson/dp/8867159879/ref=sr_1_141?dchild=1&m=A1IZZI10GE0KEI&qid=1633023703&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-141,169,71,24,3.32,"Editore
Salani",[' Mistero & Gialli '],"Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8867159871/books
12,12,12,Children_Lit,Bandiera. Ediz. illustrata,Mario Lodi (Autore),978-8866560845,122,"
Editore
‏
:
‎

Einaudi Ragazzi; Illustrated edizione (25 giugno 2013)
","
Lingua
‏
:
‎

Italiano
",4.5,"['70%', '20%', '6%', '3%', '2%']",164.0,57.0,https://www.amazon.it/Bandiera-Ediz-illustrata-Mario-Lodi/dp/8866560847/ref=sr_1_148?dchild=1&m=A1IZZI10GE0KEI&qid=1633023704&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-148,8866560847,172,24,4.23,"Data di pubblicazione
1 gen 2013","[' Bambini ', ' Narrativa & Letteratura ', ' Filosofia ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8866560845/books
13,13,13,Children_Lit,Big book of english words,Mairi Mackinnon (Autore),978-1409551652,34,"
Editore
‏
:
‎

Usborne Publishing (13 gennaio 2015)
","
Lingua
‏
:
‎

Inglese
",4.7,"['81%', '13%', '4%', '1%', '1%']",298.0,88.0,https://www.amazon.it/book-english-words-Mairi-Mackinnon/dp/1409551652/ref=sr_1_336?dchild=1&m=A1IZZI10GE0KEI&qid=1633023720&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-336,error,4,23,4.0,error,error,error,https://www.anobii.com/search/978-1409551652/books
14,14,14,Children_Lit,Blackout. L'ultimo mondo,Stef & Phere (Autore),978-8893679756,224,"
Editore
‏
:
‎

Magazzini Salani (13 maggio 2021)
","
Lingua
‏
:
‎

Italiano
",4.5,"['73%', '14%', '8%', '2%', '3%']",291.0,42.0,https://www.amazon.it/Blackout-Lultimo-mondo-Stef-Phere/dp/8893679752/ref=sr_1_38?dchild=1&m=A1IZZI10GE0KEI&qid=1633023694&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-38,error,0,0,0.0,error,error,error,https://www.anobii.com/search/978-8893679756/books
15,15,15,Children_Lit,Boy,"Roald Dahl (Autore),",978-8884519955,192,"
Editore
‏
:
‎

Salani; salani vario edizione (7 luglio 2008)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '16%', '8%', '3%', '1%']",164.0,35.0,https://www.amazon.it/Boy-Roald-Dahl/dp/8884519950/ref=sr_1_220?dchild=1&m=A1IZZI10GE0KEI&qid=1633023710&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-220,error,1035,123,4.06,error, Bambini ,error,https://www.anobii.com/search/978-8884519955/books
16,16,16,Children_Lit,C'era due volte il barone Lamberto,"Gianni Rodari (Autore),",978-8866560869,173,"
Editore
‏
:
‎

Einaudi Ragazzi (25 giugno 2013)
","
Lingua
‏
:
‎

Italiano
",4.7,"['80%', '13%', '4%', '1%', '3%']",247.0,58.0,https://www.amazon.it/Cera-due-volte-barone-Lamberto/dp/8866560863/ref=sr_1_135?dchild=1&m=A1IZZI10GE0KEI&qid=1633023703&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-135,173,1269,140,4.18,"Editore
Einaudi Ragazzi (Einaudi ragazzi. Storie e rime, 508)","[' Bambini ', ' Umorismo ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8866560869/books
17,17,17,Children_Lit,Camaleonte cambia colore! Ediz. a colori,"Gabriele Clima (Autore),",978-8868908287,8,"
Editore
‏
:
‎

La Coccinella; Illustrated edizione (12 settembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '19%', '4%', '2%', '1%']",106.0,34.0,https://www.amazon.it/Camaleonte-cambia-colore-Gabriele-Clima/dp/886890828X/ref=sr_1_166?dchild=1&m=A1IZZI10GE0KEI&qid=1633023705&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-166,8,0,0,0.0,"Editore
La Coccinella",error,Riguardo questa edizione,https://www.anobii.com/search/978-8868908287/books
18,18,18,Children_Lit,Camilla che odiava la politica,Luigi Garlando (Autore),978-8817078924,268,"
Editore
‏
:
‎

BUR Biblioteca Univ. Rizzoli; 4° edizione (28 maggio 2015)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '18%', '5%', '1%', '3%']",170.0,46.0,https://www.amazon.it/Camilla-odiava-politica-Luigi-Garlando/dp/8817078921/ref=sr_1_171?dchild=1&m=A1IZZI10GE0KEI&qid=1633023705&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-171,268,138,33,3.92,"Editore
Rizzoli (Best BUR)","[' Politica ', ' Narrativa & Letteratura ', ' Educazione & Insegnamento ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8817078924/books
19,19,19,Children_Lit,Candy Candy. Il romanzo completo,"Keiko Nagita (Autore),",978-8885457287,504,"
Editore
‏
:
‎

Kappalab (10 dicembre 2020)
","
Lingua
‏
:
‎

Italiano
",4.8,"['85%', '10%', '3%', '1%', '2%']",158.0,56.0,https://www.amazon.it/Candy-Candy-romanzo-completo-Nagita/dp/8885457282/ref=sr_1_262?dchild=1&m=A1IZZI10GE0KEI&qid=1633023714&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-262,error,17,5,3.82,error,error,error,https://www.anobii.com/search/978-8885457287/books
20,20,20,Children_Lit,Cane Puzzone,"Colas Gutman (Autore),",978-8861894907,54,"
Editore
‏
:
‎

Terre di Mezzo (13 settembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.4,"['68%', '17%', '9%', '3%', '3%']",152.0,45.0,https://www.amazon.it/Cane-puzzone-Colas-Gutman/dp/8861894909/ref=sr_1_294?dchild=1&m=A1IZZI10GE0KEI&qid=1633023718&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-294,error,12,15,4.08,error, Bambini ,error,https://www.anobii.com/search/978-8861894907/books
21,21,21,Children_Lit,Charlie and the chocolate factory,Roald Dahl (Autore),978-0142410318,176,"
Editore
‏
:
‎

Penguin Books; Reprint edizione (1 gennaio 2007)
","
Lingua
‏
:
‎

Inglese
",4.8,"['85%', '10%', '3%', '1%', '1%']",8707.0,1795.0,https://www.amazon.it/Charlie-Chocolate-Factory-Roald-Dahl/dp/0142410314/ref=sr_1_318?dchild=1&m=A1IZZI10GE0KEI&qid=1633023719&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-318,error,6358,519,4.27,error, Fantascienza & Fantasy ,error,https://www.anobii.com/search/978-0142410318/books
22,22,22,Children_Lit,Che cosa mi succede? (Ragazze). Ediz. illustrata,"Susan Meredith (Autore),",978-0746083383,48,"
Editore
‏
:
‎

Usborne Publishing; Illustrated edizione (19 settembre 2007)
","
Lingua
‏
:
‎

Italiano
",4.5,"['70%', '16%', '8%', '2%', '3%']",438.0,146.0,https://www.amazon.it/cosa-succede-Ragazze-Ediz-illustrata/dp/0746083386/ref=sr_1_63?dchild=1&m=A1IZZI10GE0KEI&qid=1633023696&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-63,error,4,2,4.0,error,error,error,https://www.anobii.com/search/978-0746083383/books
23,23,23,Children_Lit,Che cosa mi succede? (Ragazzi). Ediz. illustrata,"Alex Frith (Autore),",978-0746083376,48,"
Editore
‏
:
‎

Usborne Publishing; Illustrated edizione (19 settembre 2007)
","
Lingua
‏
:
‎

Italiano
",4.6,"['72%', '20%', '5%', '1%', '1%']",190.0,67.0,https://www.amazon.it/cosa-succede-Ragazzi-Ediz-illustrata/dp/0746083378/ref=sr_1_89?dchild=1&m=A1IZZI10GE0KEI&qid=1633023698&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-89,48,3,1,4.0,"Editore
Usborne Publishing",error,Riguardo questa edizione,https://www.anobii.com/search/978-0746083376/books
24,24,24,Children_Lit,Che rabbia! Edizione illustrata con simboli WLS,"Mireille D'Allancé (Autore),",978-8896918449,24,"
Editore
‏
:
‎

Uovonero; Illustrated edizione (13 ottobre 2016)
","
Lingua
‏
:
‎

Italiano
",4.6,"['73%', '16%', '7%', '2%', '2%']",1859.0,922.0,https://www.amazon.it/Che-rabbia-Edizione-illustrata-simboli/dp/8896918448/ref=sr_1_15?dchild=1&m=A1IZZI10GE0KEI&qid=1633023691&qsid=257-1850760-1996258&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-15&sres=8893679949%2C8817141720%2C8891585246%2C8831003380%2C8804616989%2C8817144983%2C8809058348%2C8804598891%2C8831003402%2C8804598905%2C8831003399%2C8893810735%2C885667839X%2C8804680687%2C8896918448%2C8851187029,error,4,6,4.25,error,"[' Famiglia, Sesso & Relazioni ', ' Bambini ']",error,https://www.anobii.com/search/978-8896918449/books
25,25,25,Children_Lit,"Ciao, luna! Ediz. a colori","Giovanna Mantegazza (Autore),",978-8868905774,24,"
Editore
‏
:
‎

La Coccinella; Illustrated edizione (29 marzo 2018)
","
Lingua
‏
:
‎

Italiano
",4.6,"['75%', '17%', '5%', '2%', '2%']",162.0,49.0,https://www.amazon.it/Ciao-Ediz-colori-Nicoletta-Costa/dp/8868905779/ref=sr_1_253?dchild=1&m=A1IZZI10GE0KEI&qid=1633023712&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-253,error,0,1,0.0,error,error,error,https://www.anobii.com/search/978-8868905774/books
26,26,26,Children_Lit,Cipì,Mario Lodi (Autore),978-8866561620,143,"
Editore
‏
:
‎

Einaudi Ragazzi; 1° edizione (27 maggio 2014)
","
Lingua
‏
:
‎

Italiano
",4.7,"['82%', '13%', '3%', '1%', '2%']",825.0,236.0,https://www.amazon.it/Cip%C3%AC-Mario-Lodi/dp/8866561622/ref=sr_1_40?dchild=1&m=A1IZZI10GE0KEI&qid=1633023694&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-40,error,1696,261,4.08,error,error,error,https://www.anobii.com/search/978-8866561620/books
27,27,27,Children_Lit,Coraline. Ediz. illustrata,"Neil Gaiman (Autore),",978-8804530237,182,"
Editore
‏
:
‎

Mondadori; 2° edizione (24 febbraio 2004)
","
Lingua
‏
:
‎

Italiano
",4.6,"['74%', '17%', '5%', '1%', '2%']",487.0,136.0,https://www.amazon.it/Coraline-Ediz-illustrata-Neil-Gaiman/dp/8804530235/ref=sr_1_34?dchild=1&m=A1IZZI10GE0KEI&qid=1633023694&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-34,error,5628,928,3.93,error,"[' Fantascienza & Fantasy ', ' Bambini ', ' Narrativa & Letteratura ']",error,https://www.anobii.com/search/978-8804530237/books
28,28,28,Children_Lit,Cuore,Edmondo De Amicis (Autore),978-8818030563,256,"
Editore
‏
:
‎

Rusconi Libri (1 gennaio 2017)
","
Lingua
‏
:
‎

Italiano
",4.5,"['74%', '11%', '6%', '5%', '3%']",147.0,30.0,https://www.amazon.it/Cuore-Edmondo-Amicis/dp/8818030566/ref=sr_1_287?dchild=1&m=A1IZZI10GE0KEI&qid=1633023715&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-287,256,5123,552,3.69,"Editore
Rusconi Libri","[' Adolescenti ', ' Bambini ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8818030563/books
29,29,29,Children_Lit,Da grande farò il calciatore,"Luigi Garlando (Autore),",978-8856670202,208,"
Editore
‏
:
‎

Piemme; 2° edizione (11 marzo 2019)
","
Lingua
‏
:
‎

Italiano
",4.6,"['72%', '19%', '4%', '3%', '1%']",123.0,31.0,https://www.amazon.it/grande-far%C3%B2-calciatore-Luigi-Garlando/dp/8856670208/ref=sr_1_393?dchild=1&m=A1IZZI10GE0KEI&qid=1633023726&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-393,error,67,16,4.19,error,error,error,https://www.anobii.com/search/978-8856670202/books
30,30,30,Children_Lit,Diario di una schiappa fai-da-te. Ediz. illustrata,"Jeff Kinney (Autore),",978-8880336334,224,"
Editore
‏
:
‎

Il Castoro; Illustrated edizione (13 giugno 2012)
","
Lingua
‏
:
‎

Italiano
",4.7,"['78%', '16%', '4%', '2%', '1%']",437.0,142.0,https://www.amazon.it/Diario-schiappa-fai-Ediz-illustrata/dp/8880336339/ref=sr_1_195?dchild=1&m=A1IZZI10GE0KEI&qid=1633023708&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-195,error,29,4,3.95,error,error,error,https://www.anobii.com/search/978-8880336334/books
31,31,31,Children_Lit,Diario di una schiappa. Avanti tutta!,"Jeff Kinney (Autore),",978-8869662584,217,"
Editore
‏
:
‎

Il Castoro (6 novembre 2017)
","
Lingua
‏
:
‎

Italiano
",4.7,"['80%', '14%', '4%', '1%', '1%']",499.0,121.0,https://www.amazon.it/Diario-una-schiappa-Avanti-tutta/dp/8869662586/ref=sr_1_192?dchild=1&m=A1IZZI10GE0KEI&qid=1633023707&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-192,error,12,1,4.42,error,error,error,https://www.anobii.com/search/978-8869662584/books
32,32,32,Children_Lit,Diario di una schiappa. Ediz. illustrata,"Jeff Kinney (Autore),",978-8880334392,217,"
Editore
‏
:
‎

Il Castoro; Illustrated edizione (5 febbraio 2008)
","
Lingua
‏
:
‎

Italiano
",4.7,"['80%', '14%', '3%', '1%', '1%']",700.0,224.0,https://www.amazon.it/Diario-una-schiappa-Ediz-illustrata/dp/8880334395/ref=sr_1_59?dchild=1&m=A1IZZI10GE0KEI&qid=1633023696&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-59,error,1048,175,3.98,error,error,error,https://www.anobii.com/search/978-8880334392/books
33,33,33,Children_Lit,Diario di una schiappa. Giorni da brivido,"Jeff Kinney (Autore),",978-8869665257,217,"
Editore
‏
:
‎

Il Castoro (4 novembre 2019)
","
Lingua
‏
:
‎

Italiano
",4.8,"['83%', '13%', '2%', '1%', '1%']",881.0,131.0,https://www.amazon.it/Diario-una-schiappa-Giorni-brivido/dp/8869665259/ref=sr_1_75?dchild=1&m=A1IZZI10GE0KEI&qid=1633023697&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-75,error,3,2,5.0,error,[' Adolescenti '],error,https://www.anobii.com/search/978-8869665257/books
34,34,34,Children_Lit,Diario di una schiappa. Non ce la posso fare!,"Jeff Kinney (Autore),",978-8869661396,218,"
Editore
‏
:
‎

Il Castoro; il castoro edizione (9 novembre 2016)
","
Lingua
‏
:
‎

Italiano
",4.8,"['85%', '11%', '3%', '1%', '1%']",674.0,187.0,https://www.amazon.it/Diario-una-schiappa-posso-fare/dp/8869661393/ref=sr_1_91?dchild=1&m=A1IZZI10GE0KEI&qid=1633023698&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-91,error,25,5,4.1,error,error,error,https://www.anobii.com/search/978-8869661396/books
35,35,35,Children_Lit,Diario di una schiappa. Sfortuna nera,"Jeff Kinney (Autore),",978-8880338949,217,"
Editore
‏
:
‎

Il Castoro (13 novembre 2014)
","
Lingua
‏
:
‎

Italiano
",4.7,"['82%', '13%', '3%', '1%', '1%']",570.0,149.0,https://www.amazon.it/Diario-una-schiappa-Sfortuna-nera/dp/8880338943/ref=sr_1_208?dchild=1&m=A1IZZI10GE0KEI&qid=1633023708&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-208,217,46,7,4.2,"Editore
Il Castoro","[' Fumetti & Graphic Novels ', ' Bambini ', ' Umorismo ']",Riguardo questa edizione,https://www.anobii.com/search/978-8880338949/books
36,36,36,Children_Lit,Diario di una schiappa. Si salvi chi può! Ediz. illustrata,"Jeff Kinney (Autore),",978-8880336655,218,"
Editore
‏
:
‎

Il Castoro; Illustrated edizione (3 gennaio 2013)
","
Lingua
‏
:
‎

Italiano
",4.8,"['83%', '13%', '3%', '1%', '1%']",553.0,137.0,https://www.amazon.it/Diario-schiappa-salvi-Ediz-illustrata/dp/8880336657/ref=sr_1_217?dchild=1&m=A1IZZI10GE0KEI&qid=1633023710&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-217,218,161,13,4.29,"Editore
Il castoro","[' Fantascienza & Fantasy ', ' Religione & Spiritualità ', ' Narrativa & Letteratura ']","Riguardo questa edizione
Tutte le edizioni",https://www.anobii.com/search/978-8880336655/books
37,37,37,Children_Lit,Diario di una schiappa. Una vacanza da panico,"Jeff Kinney (Autore),",978-8869663567,217,"
Editore
‏
:
‎

Il Castoro; castoro edizione (5 novembre 2018)
","
Lingua
‏
:
‎

Italiano
",4.8,"['83%', '12%', '3%', '1%', '1%']",787.0,195.0,https://www.amazon.it/Diario-una-schiappa-vacanza-panico/dp/8869663566/ref=sr_1_51?dchild=1&m=A1IZZI10GE0KEI&qid=1633023696&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-51,error,13,2,4.5,error,"[' Fumetti & Graphic Novels ', ' Adolescenti ', ' Bambini ']",error,https://www.anobii.com/search/978-8869663567/books
38,38,38,Children_Lit,Diario di una schiappa. Vita da cani,"Jeff Kinney (Autore),",978-8880335719,218,"
Editore
‏
:
‎

Il Castoro; il castoro edizione (2 febbraio 2011)
","
Lingua
‏
:
‎

Italiano
",4.7,"['81%', '13%', '4%', '1%', '1%']",745.0,216.0,https://www.amazon.it/Diario-una-schiappa-Vita-cani/dp/8880335715/ref=sr_1_140?dchild=1&m=A1IZZI10GE0KEI&qid=1633023703&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-140,error,407,44,4.23,error,error,error,https://www.anobii.com/search/978-8880335719/books
39,39,39,Children_Lit,Dieci piccoli gialli,"Carlo Barbieri (Autore),",978-8866565239,155,"
Editore
‏
:
‎

Einaudi Ragazzi (14 maggio 2019)
","
Lingua
‏
:
‎

Italiano
",4.7,"['76%', '18%', '3%', '1%', '2%']",143.0,39.0,https://www.amazon.it/Dieci-piccoli-gialli-Carlo-Barbieri/dp/8866565237/ref=sr_1_120?dchild=1&m=A1IZZI10GE0KEI&qid=1633023701&refinements=p_6%3AA1IZZI10GE0KEI&rnid=508715031&s=books&sr=1-120,157,4,2,5.0,"Editore
Einaudi Ragazzi (Storie e rime 676)","[' Bambini ', ' Mistero & Gialli ']",Riguardo questa edizione,https://www.anobii.com/search/978-8866565239/books
