,index,Genere,Genere_Suggerito,Pud_Data,Title,Author,ISBN,Num_Pages_GR,Stars_GR,Distr_Rat_GR,N_Votes_GR,N_Reviews_GR,GR_link,Stars_AZ,Distr_Rat_AZ,N_Votes_AZ,N_Reviews_AZ,AZ_link
10,10,Children_Lit,"['Classics\n3,495 users', 'Childrens\n2,393 users', 'Fiction\n1,672 users', 'Fantasy\n634 users', 'Animals\n258 users', 'Childrens > Picture Books\n220 users', 'Young Adult\n209 users', 'Audiobook\n192 users', 'Childrens > Middle Grade\n176 users']",Published October 1st 2001 by Dutton Juvenile (first published October 14th 1926),Winnie-the-Pooh,A.A. Milne,9780525467564,161,4.31,"['56%', '27%', '12%', '3%', '2%']",296475,5302,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,4.7,"['84%', '9%', '4%', '2%', '1%']",1644.0,654.0,https://www.amazon.it/s?k=9780525467564&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
11,11,Children_Lit,"['Classics\n15,135 users', 'Fiction\n5,503 users', 'Young Adult\n3,768 users', 'Childrens\n2,342 users', 'Historical > Historical Fiction\n2,229 users', 'Childrens > Middle Grade\n1,005 users', 'Historical\n877 users', 'Audiobook\n810 users', 'Cultural > Canada\n657 users']",Published May 6th 2003 by Signet Book (first published 1908),Anne of Green Gables,L.M. Montgomery,9780451528827,320,4.26,"['53%', '28%', '13%', '4%', '2%']",811183,26977,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,4.6,"['78%', '11%', '5%', '2%', '4%']",3327.0,1736.0,https://www.amazon.it/s?k=9780451528827&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
12,12,Children_Lit,"['Classics\n2,139 users', 'Childrens\n2,083 users', 'Fiction\n1,137 users', 'Childrens > Picture Books\n948 users', 'Fantasy\n443 users', 'Animals\n283 users', 'Young Adult\n140 users', 'Childrens > Juvenile\n119 users', 'Short Stories\n89 users']",Published April 1st 1987 by Avon (first published 1922),The Velveteen Rabbit,Margery Williams Bianco,9780380002559,40,4.26,"['53%', '27%', '14%', '4%', '2%']",240675,3907,https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,4.7,"['85%', '9%', '3%', '1%', '2%']",4371.0,1653.0,https://www.amazon.it/s?k=9780380002559&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
13,13,Children_Lit,"['Young Adult\n5,388 users', 'Fiction\n4,480 users', 'Childrens\n1,777 users', 'Childrens > Middle Grade\n1,585 users', 'Classics\n999 users', 'Realistic Fiction\n991 users', 'Mystery\n869 users', 'Academic > School\n804 users', 'Adventure\n780 users']",Published September 2nd 2000 by Scholastic (first published August 20th 1998),Holes,Louis Sachar,9780439244190,233,3.98,"['36%', '35%', '22%', '5%', '2%']",1046750,21960,https://www.goodreads.com/book/show/38709.Holes,4.7,"['83%', '11%', '3%', '1%', '1%']",11466.0,2191.0,https://www.amazon.it/s?k=9780439244190&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
14,14,Children_Lit,"['Childrens\n1,734 users', 'Classics\n1,606 users', 'Childrens > Picture Books\n1,037 users', 'Fiction\n735 users', 'Animals\n322 users', 'Fantasy\n232 users', 'Childrens > Juvenile\n79 users', 'Kids\n65 users', 'Young Adult\n62 users']",Published March 7th 2002 by Warne (first published December 16th 1901),The Tale of Peter Rabbit,Beatrix Potter,9780723247708,72,4.19,"['49%', '28%', '17%', '4%', '2%']",222997,2213,https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,4.7,"['85%', '8%', '4%', '1%', '2%']",1742.0,442.0,https://www.amazon.it/s?k=9780723247708&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
15,15,Children_Lit,"['Classics\n2,665 users', 'Historical > Historical Fiction\n1,997 users', 'Childrens\n1,701 users', 'Fiction\n1,409 users', 'Young Adult\n744 users', 'Historical\n613 users', 'Childrens > Middle Grade\n452 users', 'Childrens > Juvenile\n215 users', 'Audiobook\n151 users']",Published January 1st 2007 by HarperTrophy (first published 1932),Little House in the Big Woods,Laura Ingalls Wilder,9780060885373,198,4.18,"['47%', '32%', '16%', '3%', '2%']",247119,6383,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods,4.8,"['86%', '9%', '3%', '1%', '1%']",2692.0,519.0,https://www.amazon.it/s?k=9780060885373&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
16,16,Children_Lit,"['Classics\n1,635 users', 'Childrens\n1,533 users', 'Fiction\n1,112 users', 'Childrens > Middle Grade\n353 users', 'Young Adult\n339 users', 'Fantasy\n303 users', 'Humor\n256 users', 'Adventure\n194 users', 'Childrens > Juvenile\n138 users']",Published April 21st 2005 by Puffin Books (first published 1945),Pippi Longstocking,Astrid Lindgren,9780142402498,160,4.13,"['45%', '31%', '18%', '4%', '2%']",180655,4188,https://www.goodreads.com/book/show/19302.Pippi_Longstocking,4.7,"['84%', '10%', '3%', '1%', '1%']",3094.0,889.0,https://www.amazon.it/s?k=9780142402498&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
17,17,Children_Lit,"['Childrens > Picture Books\n1,726 users', 'Childrens\n1,522 users', 'Classics\n650 users', 'Fiction\n493 users', 'Cultural > France\n130 users', 'Poetry\n73 users', 'Kids\n70 users', 'Realistic Fiction\n63 users', 'Childrens > Juvenile\n59 users']",Published 1989 by London: Hippo (first published 1939),Madeline,Ludwig Bemelmans,9780590133371,44,4.24,"['52%', '27%', '16%', '4%', '2%']",201210,2086,https://www.goodreads.com/book/show/475339.Madeline,4.8,"['90%', '6%', '2%', '1%', '1%']",1777.0,461.0,https://www.amazon.it/s?k=9780590133371&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
18,18,Children_Lit,"['Childrens\n1,449 users', 'Fiction\n1,058 users', 'Fantasy\n537 users', 'Classics\n350 users', 'Childrens > Middle Grade\n284 users', 'Humor\n256 users', 'Young Adult\n240 users', 'Novels\n89 users', 'European Literature > British Literature\n88 users']",Published June 24th 2004 by Puffin Books (first published 1980),The Twits,Roald Dahl,9780141318301,96,3.96,"['37%', '32%', '24%', '6%', '2%']",128551,4087,https://www.goodreads.com/book/show/31456.The_Twits,4.8,"['85%', '10%', '3%', '1%', '1%']",3928.0,765.0,https://www.amazon.it/s?k=9780141318301&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
19,19,Children_Lit,"['Fiction\n1,767 users', 'Childrens\n1,424 users', 'Young Adult\n1,141 users', 'Childrens > Middle Grade\n921 users', 'Mystery\n791 users', 'Classics\n717 users', 'Realistic Fiction\n337 users', 'Adventure\n324 users', 'Childrens > Juvenile\n239 users']",Published June 2nd 2003 by Walker Books Ltd (first published 1967),From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,9780744583274,178,4.14,"['44%', '34%', '17%', '4%', '2%']",199871,7683,https://www.goodreads.com/book/show/3980.From_the_Mixed_Up_Files_of_Mrs_Basil_E_Frankweiler,4.7,"['83%', '11%', '4%', '1%', '1%']",2225.0,525.0,https://www.amazon.it/s?k=9780744583274&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
20,20,Children_Lit,"['Fiction\n1,967 users', 'Young Adult\n1,435 users', 'Childrens\n1,409 users', 'Fantasy\n1,207 users', 'Childrens > Middle Grade\n1,118 users', 'Mystery\n798 users', 'Adventure\n391 users', 'Audiobook\n337 users', 'Humor\n316 users']","Published September 30th 1999 by Scholastic, Inc. (first published August 26th 1999)",The Reptile Room,Lemony Snicket,9780439206488,192,3.98,"['34%', '38%', '22%', '5%', '2%']",203175,7227,https://www.goodreads.com/book/show/78418.The_Reptile_Room,4.7,"['84%', '10%', '4%', '1%', '1%']",1329.0,353.0,https://www.amazon.it/s?k=9780439206488&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
21,21,Children_Lit,"['Childrens\n1,408 users', 'Fiction\n1,099 users', 'Fantasy\n711 users', 'Classics\n509 users', 'Childrens > Middle Grade\n305 users', 'Animals\n291 users', 'Young Adult\n214 users', 'Humor\n140 users', 'Audiobook\n104 users']",Published June 11th 2002 by Knopf Books for Young Readers (first published September 12th 1970),Fantastic Mr. Fox,Roald Dahl,9780375822070,96,4.06,"['39%', '34%', '21%', '4%', '1%']",114349,4651,https://www.goodreads.com/book/show/6693.Fantastic_Mr_Fox,4.8,"['86%', '9%', '3%', '1%', '1%']",4316.0,805.0,https://www.amazon.it/s?k=9780375822070&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
22,22,Children_Lit,"['Childrens\n1,407 users', 'Childrens > Picture Books\n1,231 users', 'Fiction\n392 users', 'Animals\n239 users', 'Classics\n203 users', 'Family\n134 users', 'Kids\n91 users', 'Humor\n51 users', 'Young Adult\n38 users']","Published 1962 by Random House, Inc. (first published June 12th 1960)",Are You My Mother?,P.D. Eastman,9780001713222,64,4.18,"['52%', '25%', '17%', '5%', '2%']",226005,2534,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_,4.8,"['91%', '6%', '2%', '1%', '1%']",12533.0,1742.0,https://www.amazon.it/s?k=9780001713222&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
23,23,Children_Lit,"['Childrens > Picture Books\n1,851 users', 'Childrens\n1,367 users', 'Holiday > Christmas\n1,116 users', 'Fiction\n498 users', 'Fantasy\n408 users', 'Classics\n390 users', 'Holiday\n297 users', 'Adventure\n85 users', 'Kids\n65 users']",Published 2000 by Houghton Mifflin (first published October 28th 1985),The Polar Express,Chris Van Allsburg,9780395389492,32,4.31,"['57%', '24%', '13%', '4%', '2%']",221042,3646,https://www.goodreads.com/book/show/420282.The_Polar_Express,4.7,"['85%', '9%', '3%', '2%', '2%']",732.0,546.0,https://www.amazon.it/s?k=9780395389492&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
24,24,Children_Lit,"['Childrens > Picture Books\n1,551 users', 'Childrens\n1,363 users', 'Fiction\n411 users', 'Classics\n245 users', 'Family\n217 users', 'Love\n139 users', 'Kids\n84 users', 'Realistic Fiction\n82 users', 'Cultural > Canada\n59 users']",Published September 1st 1995 by Firefly Books (first published January 1st 1986),Love You Forever,Robert Munsch,9780920668375,32,4.35,"['65%', '18%', '10%', '4%', '4%']",216105,5479,https://www.goodreads.com/book/show/310259.Love_You_Forever,4.9,"['93%', '4%', '1%', '1%', '1%']",35500.0,7940.0,https://www.amazon.it/s?k=9780920668375&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
25,25,Children_Lit,"['Childrens > Picture Books\n1,716 users', 'Childrens\n1,333 users', 'Fiction\n439 users', 'Classics\n199 users', 'Realistic Fiction\n174 users', 'Humor\n145 users', 'Kids\n101 users', 'Family\n79 users', 'Psychology > Emotion\n58 users']",Published July 15th 1987 by Atheneum Books for Young Readers (first published 1972),"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,9780689711732,32,4.22,"['52%', '27%', '16%', '4%', '2%']",177161,2912,https://www.goodreads.com/book/show/46677.Alexander_and_the_Terrible_Horrible_No_Good_Very_Bad_Day,4.8,"['87%', '8%', '3%', '1%', '2%']",4272.0,1126.0,https://www.amazon.it/s?k=9780689711732&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
26,26,Children_Lit,"['Childrens\n1,278 users', 'Fantasy\n1,166 users', 'Fiction\n1,136 users', 'Classics\n521 users', 'Young Adult\n313 users', 'Childrens > Middle Grade\n255 users', 'Adventure\n159 users', 'Humor\n141 users', 'Childrens > Juvenile\n92 users']",Published May 5th 2005 by Puffin Books (first published August 12th 1972),Charlie and the Great Glass Elevator,Roald Dahl,9780142404126,159,3.68,"['26%', '31%', '31%', '9%', '2%']",98170,3092,https://www.goodreads.com/book/show/6687.Charlie_and_the_Great_Glass_Elevator,4.6,"['76%', '13%', '6%', '2%', '2%']",2336.0,481.0,https://www.amazon.it/s?k=9780142404126&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
27,27,Children_Lit,"['Classics\n4,027 users', 'Fiction\n2,862 users', 'Young Adult\n1,894 users', 'Childrens\n1,216 users', 'Historical > Historical Fiction\n556 users', 'Childrens > Middle Grade\n534 users', 'Animals\n530 users', 'Academic > School\n458 users', 'Realistic Fiction\n341 users']",Published May 9th 2000 by Yearling (first published 1961),Where the Red Fern Grows,Wilson Rawls,9780375806810,272,4.08,"['43%', '32%', '18%', '5%', '2%']",365591,11867,https://www.goodreads.com/book/show/10365.Where_the_Red_Fern_Grows,4.8,"['88%', '8%', '2%', '1%', '1%']",8244.0,1666.0,https://www.amazon.it/s?k=9780375806810&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
28,28,Children_Lit,"['Fantasy\n2,601 users', 'Fiction\n1,282 users', 'Childrens\n1,212 users', 'Childrens > Middle Grade\n860 users', 'Young Adult\n631 users', 'Animals\n504 users', 'Adventure\n412 users', 'Classics\n320 users', 'Childrens > Juvenile\n221 users']",Published September 9th 2008 by Candlewick Press (first published August 25th 2003),The Tale of Despereaux,Kate DiCamillo,9780763625290,267,4.03,"['39%', '34%', '20%', '5%', '2%']",177685,10547,https://www.goodreads.com/book/show/37190.The_Tale_of_Despereaux,4.8,"['86%', '8%', '3%', '1%', '2%']",3106.0,563.0,https://www.amazon.it/s?k=9780763625290&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
29,29,Children_Lit,"['Historical > Historical Fiction\n6,055 users', 'Young Adult\n2,651 users', 'Fiction\n2,126 users', 'Classics\n1,426 users', 'Childrens\n1,199 users', 'Historical\n1,120 users', 'Childrens > Middle Grade\n1,019 users', 'World War II > Holocaust\n940 users', 'Academic > School\n706 users']",Published February 9th 1998 by Laurel Leaf (first published April 24th 1989),Number the Stars,Lois Lowry,9780440227533,137,4.15,"['43%', '35%', '17%', '4%', '1%']",491711,14290,https://www.goodreads.com/book/show/47281.Number_the_Stars,4.8,"['85%', '10%', '3%', '1%', '1%']",7833.0,1490.0,https://www.amazon.it/s?k=9780440227533&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
30,30,Children_Lit,"['Fantasy\n3,065 users', 'Young Adult\n2,272 users', 'Classics\n2,146 users', 'Fiction\n1,918 users', 'Childrens\n1,169 users', 'Childrens > Middle Grade\n916 users', 'Academic > School\n459 users', 'Historical > Historical Fiction\n456 users', 'Romance\n439 users']",Published November 1st 1985 by Farrar Straus Giroux (first published 1975),Tuck Everlasting,Natalie Babbitt,9780374480097,148,3.88,"['32%', '35%', '24%', '7%', '3%']",254821,9991,https://www.goodreads.com/book/show/84981.Tuck_Everlasting,4.7,"['83%', '11%', '4%', '1%', '1%']",3781.0,746.0,https://www.amazon.it/s?k=9780374480097&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
31,31,Children_Lit,"['Childrens\n1,131 users', 'Classics\n1,063 users', 'Fiction\n927 users', 'Fantasy\n500 users', 'Animals\n323 users', 'Childrens > Middle Grade\n239 users', 'Young Adult\n239 users', 'Adventure\n144 users', 'Childrens > Chapter Books\n143 users']",Published 2006 by HarperCollins (first published 1945),Stuart Little,E.B. White,9780064400565,131,3.9,"['34%', '32%', '25%', '7%', '2%']",116257,3060,https://www.goodreads.com/book/show/138959.Stuart_Little,4.7,"['84%', '10%', '3%', '1%', '2%']",1667.0,271.0,https://www.amazon.it/s?k=9780064400565&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
32,32,Children_Lit,"['Childrens > Picture Books\n1,424 users', 'Childrens\n1,121 users', 'Fiction\n321 users', 'Classics\n272 users', 'Fantasy\n147 users', 'Art\n113 users', 'Kids\n69 users', 'Adventure\n54 users', 'Childrens > Juvenile\n36 users']",Published 1996 by Bloomsbury (first published 1955),Harold and the Purple Crayon,Crockett Johnson,9780747532033,64,4.26,"['54%', '25%', '15%', '4%', '2%']",133456,2220,https://www.goodreads.com/book/show/98573.Harold_and_the_Purple_Crayon,4.8,"['90%', '7%', '2%', '1%', '1%']",3787.0,971.0,https://www.amazon.it/s?k=9780747532033&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
33,33,Children_Lit,"['Fiction\n1,565 users', 'Young Adult\n1,167 users', 'Childrens\n1,105 users', 'Childrens > Middle Grade\n886 users', 'Fantasy\n883 users', 'Mystery\n674 users', 'Adventure\n323 users', 'Audiobook\n262 users', 'Humor\n257 users']","Published April 15th 2000 by Scholastic, Inc. (first published April 5th 2000)",The Miserable Mill,Lemony Snicket,9780439272636,194,3.85,"['30%', '34%', '28%', '6%', '2%']",152747,4399,https://www.goodreads.com/book/show/65119.The_Miserable_Mill,4.8,"['86%', '9%', '3%', '1%', '1%']",742.0,193.0,https://www.amazon.it/s?k=9780439272636&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
34,34,Children_Lit,"['Childrens\n1,043 users', 'Childrens > Picture Books\n1,004 users', 'Fiction\n311 users', 'Classics\n289 users', 'Animals\n161 users', 'Adventure\n61 users', 'Kids\n54 users', 'Fantasy\n42 users', 'Humor\n41 users']",Published 1969 by Houghton Mifflin Co. (first published 1941),Curious George,H.A. Rey,9780395150238,48,4.15,"['49%', '26%', '19%', '5%', '2%']",130438,1237,https://www.goodreads.com/book/show/420297.Curious_George,4.7,"['86%', '7%', '3%', '1%', '2%']",454.0,114.0,https://www.amazon.it/s?k=9780395150238&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
35,35,Children_Lit,"['Childrens\n1,037 users', 'Fiction\n737 users', 'Mystery\n503 users', 'Classics\n391 users', 'Childrens > Middle Grade\n275 users', 'Young Adult\n261 users', 'Childrens > Chapter Books\n149 users', 'Adventure\n138 users', 'Childrens > Juvenile\n129 users']",Published January 1st 1989 by Albert Whitman Company (first published February 6th 1924),The Boxcar Children,Gertrude Chandler Warner,9780807508527,160,4.11,"['46%', '29%', '19%', '5%', '2%']",125885,3483,https://www.goodreads.com/book/show/297249.The_Boxcar_Children,4.7,"['86%', '8%', '3%', '1%', '2%']",2160.0,733.0,https://www.amazon.it/s?k=9780807508527&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
36,36,Children_Lit,"['Fiction\n1,268 users', 'Childrens\n1,031 users', 'Childrens > Middle Grade\n881 users', 'Realistic Fiction\n871 users', 'Young Adult\n721 users', 'Animals\n489 users', 'Classics\n454 users', 'Academic > School\n247 users', 'Animals > Dogs\n218 users']",Published August 6th 2001 by Candlewick Press (first published March 1st 2000),Because of Winn-Dixie,Kate DiCamillo,9780763616052,182,4.06,"['40%', '34%', '20%', '5%', '1%']",223218,9656,https://www.goodreads.com/book/show/357664.Because_of_Winn_Dixie,4.8,"['88%', '8%', '2%', '1%', '1%']",6512.0,1048.0,https://www.amazon.it/s?k=9780763616052&i=stripbooks&__mk_it_IT=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
