,level_0,index,Title,ISBN,Author,Auth_Sugg,Book_type,Yes24_link,Link_Naver,Price_Yes,Shelves_Yes,Num_Rev_Yes,Dist_Rat_Cont_Yes,Dist_Rat_Design_Yes,Overall_Rat_Yes,Num_Pages_Yes,Pub_Date_Yes,Num_Rev_ol_Yes,Overall_Rat_ol_Yes,Prezzo_Naver,Pub_Date_Naver,Overall_Rat_Naver,Num_Reviews_Naver
11,1016,1455,AGATHA CHRISTIE 세트 (41~80),9788938290014,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/1973569,http://book.naver.com/bookdb/book_detail.naver?bid=2123446,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],2,"['100%', '0%', '0%', '0%', '0%']","['50%', '0%', '50%', '0%', '0%']",9.0,8,2000,0,error,240.000,2000.08.31,10.0,1
12,953,1352,N 또는 M,9788982737503,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2833807,http://book.naver.com/bookdb/book_detail.naver?bid=4406196,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],1,"['100%', '0%', '0%', '0%', '0%']","['0%', '100%', '0%', '0%', '0%']",9.0,287,2008,0,error,9.000,2008.01.18,8.0,7
13,1061,1535,N인가 M인가 (추리문고 035),00014972,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/14972,error,error,[],error,[],[],error,246,1991,0,error,error,error,error,error
14,1038,1488,갈색 양복의 사나이,9788982737282,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2635690,http://book.naver.com/bookdb/book_detail.naver?bid=2954429,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],2,"['100%', '0%', '0%', '0%', '0%']","['100%', '0%', '0%', '0%', '0%']",10.0,362,2007,1,10.0,10.000,2007.06.14,9.0,10
15,976,1383,갈색옷을 입은 사나이,9788938202321,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103144,http://book.naver.com/bookdb/book_detail.naver?bid=141257,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],7,"['43%', '43%', '14%', '0%', '0%']","['14%', '71%', '14%', '0%', '0%']",8.3,348,1998,1,10.0,5.400,1989.07.01,7.17,11
16,896,1275,검찰 측의 증인,9788982737770,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/9259931,http://book.naver.com/bookdb/book_detail.naver?bid=7265799,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],3,"['67%', '0%', '33%', '0%', '0%']","['33%', '33%', '33%', '0%', '0%']",8.3,393,2013,1,6.0,9.000,2013.07.12,0.0,6
17,1005,1440,검찰측 증인,9788949701448,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/344841,http://book.naver.com/bookdb/book_detail.naver?bid=121455,"8,820원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],error,[],[],error,526,2003,0,error,8.820,2003.01.01,10.0,4
18,980,1391,검찰측의 증인,9788938202338,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103143,http://book.naver.com/bookdb/book_detail.naver?bid=141247,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],5,"['40%', '20%', '40%', '0%', '0%']","['0%', '60%', '40%', '0%', '0%']",7.6,289,1999,0,error,5.400,1990.10.01,6.0,6
19,978,1386,골프장 살인사건,9788938202413,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103108,http://book.naver.com/bookdb/book_detail.naver?bid=141255,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설\n  국내도서 > 건강 취미 > 스포츠/오락기타'],5,"['20%', '80%', '0%', '0%', '0%']","['0%', '40%', '40%', '0%', '20%']",7.2,313,1997,0,error,5.400,1987.08.01,7.83,12
20,971,1376,구름 속의 죽음,9788938201813,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2541135,error,"7,200원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],error,[],[],error,256,2007,0,error,error,error,error,error
21,954,1353,구름속의 죽음,9788938202260,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103147,http://book.naver.com/bookdb/book_detail.naver?bid=141231,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],16,"['19%', '56%', '25%', '0%', '0%']","['0%', '56%', '44%', '0%', '0%']",7.5,327,1998,2,10.0,5.400,1990.02.01,6.88,12
22,952,1351,그들은 바그다드로 갔다,9788982737633,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/3034000,http://book.naver.com/bookdb/book_detail.naver?bid=4712755,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],3,"['100%', '0%', '0%', '0%', '0%']","['67%', '33%', '0%', '0%', '0%']",9.7,353,2008,2,8.0,9.000,2008.07.20,9.5,3
23,886,1263,그리고 아무도 없었다,9788938201010,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/70266,http://book.naver.com/bookdb/book_detail.naver?bid=109141,"9,000원","['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설', '태그 분류\n#살인사건 #서스펜스 #추리/미스터리/스릴러']",120,"['59%', '22%', '18%', '1%', '1%']","['49%', '28%', '19%', '2%', '2%']",8.6,272,2002,118,9.2,9.000,2002.05.25,8.7,620
24,913,1297,깨어진 거울,9788982737534,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2833830,http://book.naver.com/bookdb/book_detail.naver?bid=4406198,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],4,"['75%', '25%', '0%', '0%', '0%']","['50%', '50%', '0%', '0%', '0%']",9.3,344,2008,1,8.0,9.000,2008.01.18,9.0,7
25,925,1310,끝없는 밤,9788938202307,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103093,http://book.naver.com/bookdb/book_detail.naver?bid=141228,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],11,"['9%', '55%', '36%', '0%', '0%']","['9%', '27%', '55%', '9%', '0%']",7.1,340,1998,3,10.0,5.400,1989.08.01,7.25,21
26,1001,1433,끝없는 밤에 태어나다,9788949702483,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/422691,http://book.naver.com/bookdb/book_detail.naver?bid=138371,"6,120원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],1,"['100%', '0%', '0%', '0%', '0%']","['0%', '0%', '100%', '0%', '0%']",8.0,305,2003,0,error,6.120,2003.12.01,7.0,3
27,901,1281,나일 강의 죽음,9788960177819,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/11865724,http://book.naver.com/bookdb/book_detail.naver?bid=7407512,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],8,"['88%', '12%', '0%', '0%', '0%']","['75%', '25%', '0%', '0%', '0%']",9.7,477,2013,6,10.0,9.000,2013.12.31,10.0,16
28,936,1328,나일강의 죽음,9788938202055,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103084,http://book.naver.com/bookdb/book_detail.naver?bid=141220,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],21,"['33%', '52%', '14%', '0%', '0%']","['10%', '43%', '48%', '0%', '0%']",7.8,348,1999,5,8.8,5.400,1990.02.01,8.3,16
29,1000,1429,나일에서 죽다,9788949702889,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/1469196,http://book.naver.com/bookdb/book_detail.naver?bid=1528179,"7,020원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],error,[],[],error,354,2005,0,error,7.020,2005.03.01,7.0,3
30,928,1314,누명,9788982737091,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/1391229,http://book.naver.com/bookdb/book_detail.naver?bid=153253,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],12,"['25%', '67%', '8%', '0%', '0%']","['25%', '42%', '25%', '8%', '0%']",8.0,400,2004,1,10.0,9.000,2004.06.04,8.33,12
31,904,1285,다섯 마리 아기 돼지,9788960177833,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/11865819,http://book.naver.com/bookdb/book_detail.naver?bid=7407522,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],6,"['50%', '17%', '33%', '0%', '0%']","['67%', '33%', '0%', '0%', '0%']",8.9,355,2013,4,10.0,9.000,2013.12.31,10.0,15
32,1043,1500,두번째 봄,9788954635196,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/17190455,http://book.naver.com/bookdb/book_detail.naver?bid=8881658,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리'],11,"['64%', '27%', '9%', '0%', '0%']","['73%', '27%', '0%', '0%', '0%']",9.2,416,2015,5,8.8,13.000,2015.03.20,8.67,16
33,1055,1529,딸과 딸,9788979530278,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/21986,http://book.naver.com/bookdb/book_detail.naver?bid=54906,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러'],error,[],[],error,306,1995,0,error,6.500,1995.06.01,0.0,0
34,956,1358,딸은 딸이다,9788954624664,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/12818848,http://book.naver.com/bookdb/book_detail.naver?bid=7552145,"10,800원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],13,"['46%', '38%', '15%', '0%', '0%']","['38%', '46%', '15%', '0%', '0%']",8.5,320,2014,3,9.4,10.800,2014.05.15,9.41,58
35,1054,1528,뜨거운 포옹,9788979530285,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/21988,http://book.naver.com/bookdb/book_detail.naver?bid=54907,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러'],error,[],[],error,308,1995,0,error,6.500,1995.06.01,0.0,0
36,996,1415,리가타 미스터리,9788938202765,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103089,http://book.naver.com/bookdb/book_detail.naver?bid=141211,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 단편소설'],8,"['12%', '38%', '38%', '12%', '0%']","['0%', '12%', '75%', '12%', '0%']",6.5,263,1999,0,error,5.400,1990.09.01,7.5,6
37,941,1335,리스터데일 미스터리,9788982737763,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/9259925,http://book.naver.com/bookdb/book_detail.naver?bid=7265753,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],1,"['100%', '0%', '0%', '0%', '0%']","['0%', '100%', '0%', '0%', '0%']",9.0,429,2013,1,10.0,9.000,2013.07.12,8.0,3
38,949,1346,마술 살인,9788982737657,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/8978401,http://book.naver.com/bookdb/book_detail.naver?bid=7226733,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],1,"['100%', '0%', '0%', '0%', '0%']","['0%', '100%', '0%', '0%', '0%']",9.0,284,2013,1,10.0,9.000,2013.05.27,7.0,6
39,920,1304,마술살인,9788938202529,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103042,http://book.naver.com/bookdb/book_detail.naver?bid=141213,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],6,"['33%', '50%', '17%', '0%', '0%']","['33%', '17%', '33%', '17%', '0%']",7.9,305,1998,0,error,5.400,1990.06.01,6.5,7
40,894,1272,마지막으로 죽음이 오다,9788982737176,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2295059,http://book.naver.com/bookdb/book_detail.naver?bid=2610461,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],4,"['75%', '25%', '0%', '0%', '0%']","['50%', '50%', '0%', '0%', '0%']",9.3,311,2006,2,10.0,9.000,2006.11.13,7.71,7
41,1010,1449,마지막으로 죽음이 온다,9788938202499,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103090,http://book.naver.com/bookdb/book_detail.naver?bid=141201,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],5,"['20%', '60%', '20%', '0%', '0%']","['0%', '60%', '40%', '0%', '0%']",7.6,319,1997,0,error,5.400,1997.08.31,7.0,10
42,921,1306,맥긴티 부인의 죽음,9788938202567,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/21951,http://book.naver.com/bookdb/book_detail.naver?bid=141207,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],9,"['33%', '56%', '11%', '0%', '0%']","['0%', '56%', '44%', '0%', '0%']",7.8,307,1997,1,8.0,5.400,1997.12.31,6.8,8
43,909,1291,메소포타미아의 살인,9788960172029,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/19573084,http://book.naver.com/bookdb/book_detail.naver?bid=9365579,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리'],3,"['33%', '67%', '0%', '0%', '0%']","['67%', '33%', '0%', '0%', '0%']",9.0,384,2015,1,10.0,9.000,2015.07.10,0.0,4
44,985,1396,메소포타미아의 죽음,9788938204509,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2721899,http://book.naver.com/bookdb/book_detail.naver?bid=3291679,"7,200원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],1,"['0%', '100%', '0%', '0%', '0%']","['0%', '100%', '0%', '0%', '0%']",8.0,296,2007,0,error,7.200,2007.10.29,0.0,1
45,991,1405,명탐정 파커 파인,9788938202352,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103141,http://book.naver.com/bookdb/book_detail.naver?bid=141242,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],6,"['17%', '67%', '0%', '17%', '0%']","['0%', '50%', '50%', '0%', '0%']",7.3,319,1988,1,8.0,5.400,1988.05.31,8.25,10
46,1052,1526,명탐정 포와로 (하),9788972480006,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/21992,http://book.naver.com/bookdb/book_detail.naver?bid=29672,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러'],error,[],[],error,132,1995,0,error,3.800,1993.11.01,0.0,0
47,1034,1474,명탐정 푸아로 베스트 세트,9791158883386,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/56883324,http://book.naver.com/bookdb/book_detail.naver?bid=12799935,error,['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],2,"['50%', '0%', '50%', '0%', '0%']","['50%', '0%', '50%', '0%', '0%']",8.0,2,2017,314,10.0,40.000,2017.11.21,0.0,0
48,1045,1507,명탐정 푸아로의 추리 X파일,9788952846013,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/291272,http://book.naver.com/bookdb/book_detail.naver?bid=160375,error,['카테고리 분류\n  국내도서 > 어린이 > 1-2학년 > 1-2학년 그림/동화책 > 1-2학년 창작동화\n  국내도서 > 어린이 > 1-2학년 > 1-2학년 만화/애니메이션 > 1-2학년 만화일반\n  국내도서 > 어린이 > 3-4학년 > 3-4학년 그림/동화책 > 3-4학년 창작동화\n  국내도서 > 어린이 > 3-4학년 > 3-4학년 만화/애니메이션 > 3-4학년 만화일반\n  국내도서 > 어린이 > 어린이 문학 > 그림/동화책 > 창작동화\n  국내도서 > 어린이 > 학습만화/코믹스 > 만화/애니메이션\n  국내도서 > 어린이 > 학습만화/코믹스 > 만화일반'],error,[],[],error,160,2002,0,error,7.000,2002.07.30,0.0,0
49,979,1389,목사관 살인사건,9788938202314,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/103057,http://book.naver.com/bookdb/book_detail.naver?bid=141225,"5,400원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 장르소설 > 공포/스릴러\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],7,"['43%', '43%', '14%', '0%', '0%']","['0%', '57%', '29%', '0%', '14%']",7.6,295,1999,1,10.0,5.400,1988.02.01,7.0,15
50,923,1308,목사관의 살인,9788982737244,애거사 크리스티,Agatha Christie,도서,http://www.yes24.com/Product/Goods/2533678,http://book.naver.com/bookdb/book_detail.naver?bid=2896427,"9,000원",['카테고리 분류\n  국내도서 > 소설/시/희곡 > 장르소설 > 추리/미스터리\n  국내도서 > 소설/시/희곡 > 영미소설 > 영미 장편소설'],5,"['60%', '40%', '0%', '0%', '0%']","['80%', '20%', '0%', '0%', '0%']",9.4,428,2007,1,10.0,9.000,2007.04.27,9.0,9
